m1=4183.093, m2=28.818, gsp=2.355, rhosp=6773.961
fGW[Hz],dPh[rad]
4.49196e-03,1.46408e+04
4.61688e-03,1.38198e+04
4.74528e-03,1.30447e+04
4.87725e-03,1.23130e+04
5.01289e-03,1.16222e+04
5.15230e-03,1.09701e+04
5.29559e-03,1.03544e+04
5.44287e-03,9.77325e+03
5.59424e-03,9.22461e+03
5.74982e-03,8.70668e+03
5.90972e-03,8.21774e+03
6.07408e-03,7.75617e+03
6.24300e-03,7.32045e+03
6.41662e-03,6.90911e+03
6.59507e-03,6.52082e+03
6.77849e-03,6.15426e+03
6.96700e-03,5.80823e+03
7.16076e-03,5.48159e+03
7.35991e-03,5.17324e+03
7.56459e-03,4.88216e+03
7.77497e-03,4.60739e+03
7.99120e-03,4.34801e+03
8.21344e-03,4.10317e+03
8.44186e-03,3.87205e+03
8.67663e-03,3.65389e+03
8.91794e-03,3.44795e+03
9.16595e-03,3.25355e+03
9.42086e-03,3.07006e+03
9.68287e-03,2.89686e+03
9.95215e-03,2.73337e+03
1.02289e-02,2.57904e+03
1.05134e-02,2.43338e+03
1.08058e-02,2.29589e+03
1.11063e-02,2.16612e+03
1.14152e-02,2.04362e+03
1.17326e-02,1.92801e+03
1.20589e-02,1.81888e+03
1.23943e-02,1.71589e+03
1.27390e-02,1.61868e+03
1.30933e-02,1.52693e+03
1.34574e-02,1.44033e+03
1.38317e-02,1.35861e+03
1.42164e-02,1.28147e+03
1.46117e-02,1.20868e+03
1.50181e-02,1.13998e+03
1.54357e-02,1.07514e+03
1.58650e-02,1.01395e+03
1.63062e-02,9.56209e+02
1.67597e-02,9.01717e+02
1.72258e-02,8.50294e+02
1.77049e-02,8.01768e+02
1.81973e-02,7.55977e+02
1.87034e-02,7.12767e+02
1.92235e-02,6.71995e+02
1.97581e-02,6.33523e+02
2.03076e-02,5.97222e+02
2.08724e-02,5.62972e+02
2.14529e-02,5.30655e+02
2.20495e-02,5.00165e+02
2.26627e-02,4.71399e+02
2.32930e-02,4.44260e+02
2.39408e-02,4.18657e+02
2.46066e-02,3.94503e+02
2.52909e-02,3.71718e+02
2.59943e-02,3.50224e+02
2.67172e-02,3.29949e+02
2.74602e-02,3.10825e+02
2.82239e-02,2.92787e+02
