m1=20048.751, m2=25.681, gsp=2.168, rhosp=297.404
fGW[Hz],dPh[rad]
3.16779e-03,9.67369e+02
3.23598e-03,9.20842e+02
3.30563e-03,8.76506e+02
3.37679e-03,8.34258e+02
3.44948e-03,7.94003e+02
3.52373e-03,7.55647e+02
3.59958e-03,7.19101e+02
3.67706e-03,6.84282e+02
3.75621e-03,6.51109e+02
3.83707e-03,6.19505e+02
3.91966e-03,5.89397e+02
4.00403e-03,5.60715e+02
4.09022e-03,5.33392e+02
4.17827e-03,5.07366e+02
4.26821e-03,4.82575e+02
4.36008e-03,4.58963e+02
4.45394e-03,4.36473e+02
4.54981e-03,4.15054e+02
4.64775e-03,3.94655e+02
4.74779e-03,3.75229e+02
4.84999e-03,3.56730e+02
4.95439e-03,3.39115e+02
5.06103e-03,3.22342e+02
5.16998e-03,3.06372e+02
5.28126e-03,2.91167e+02
5.39494e-03,2.76692e+02
5.51107e-03,2.62911e+02
5.62970e-03,2.49793e+02
5.75088e-03,2.37307e+02
5.87467e-03,2.25422e+02
6.00113e-03,2.14111e+02
6.13031e-03,2.03346e+02
6.26227e-03,1.93102e+02
6.39706e-03,1.83354e+02
6.53476e-03,1.74079e+02
6.67543e-03,1.65254e+02
6.81912e-03,1.56859e+02
6.96591e-03,1.48872e+02
7.11585e-03,1.41275e+02
7.26902e-03,1.34049e+02
7.42549e-03,1.27177e+02
7.58533e-03,1.20642e+02
7.74861e-03,1.14428e+02
7.91540e-03,1.08519e+02
8.08578e-03,1.02901e+02
8.25983e-03,9.75609e+01
8.43763e-03,9.24846e+01
8.61926e-03,8.76598e+01
8.80479e-03,8.30745e+01
8.99432e-03,7.87173e+01
9.18792e-03,7.45772e+01
9.38570e-03,7.06439e+01
9.58773e-03,6.69075e+01
9.79411e-03,6.33585e+01
1.00049e-02,5.99878e+01
1.02203e-02,5.67871e+01
1.04403e-02,5.37479e+01
1.06650e-02,5.08626e+01
1.08946e-02,4.81238e+01
1.11291e-02,4.55242e+01
1.13687e-02,4.30573e+01
1.16134e-02,4.07165e+01
1.18634e-02,3.84958e+01
1.21187e-02,3.63892e+01
1.23796e-02,3.43912e+01
1.26461e-02,3.24965e+01
1.29183e-02,3.07001e+01
1.31964e-02,2.89970e+01
1.34804e-02,2.73829e+01
1.37706e-02,2.58531e+01
1.40670e-02,2.44037e+01
1.43698e-02,2.30305e+01
1.46791e-02,2.17299e+01
1.49951e-02,2.04982e+01
1.53179e-02,1.93320e+01
1.56476e-02,1.82281e+01
1.59844e-02,1.71832e+01
1.63285e-02,1.61944e+01
1.66800e-02,1.52590e+01
1.70390e-02,1.43742e+01
1.74058e-02,1.35375e+01
1.77805e-02,1.27463e+01
1.81632e-02,1.19985e+01
1.85542e-02,1.12917e+01
1.89536e-02,1.06239e+01
1.93616e-02,9.99310e+00
1.97783e-02,9.39735e+00
2.02041e-02,8.83484e+00
2.06390e-02,8.30386e+00
2.10832e-02,7.80275e+00
2.15371e-02,7.32996e+00
2.20006e-02,6.88399e+00
2.24742e-02,6.46344e+00
2.29580e-02,6.06695e+00
2.34522e-02,5.69325e+00
2.39570e-02,5.34112e+00
2.44727e-02,5.00941e+00
2.49995e-02,4.69701e+00
2.55376e-02,4.40289e+00
2.60873e-02,4.12604e+00
2.66488e-02,3.86554e+00
2.72225e-02,3.62048e+00
2.78085e-02,3.39002e+00
2.84070e-02,3.17334e+00
2.90185e-02,2.96968e+00
2.96432e-02,2.77832e+00
3.02812e-02,2.59856e+00
3.09331e-02,2.42976e+00
3.15989e-02,2.27129e+00
3.22791e-02,2.12256e+00
3.29739e-02,1.98301e+00
3.36837e-02,1.85213e+00
3.44088e-02,1.72940e+00
3.51494e-02,1.61436e+00
3.59060e-02,1.50656e+00
3.66789e-02,1.40556e+00
3.74685e-02,1.31098e+00
3.82750e-02,1.22242e+00
3.90989e-02,1.13954e+00
3.99405e-02,1.06199e+00
4.08003e-02,9.89446e-01
4.16785e-02,9.21611e-01
4.25757e-02,8.58196e-01
4.34921e-02,7.98932e-01
4.44283e-02,7.43563e-01
4.53846e-02,6.91849e-01
4.63616e-02,6.43562e-01
4.73595e-02,5.98489e-01
4.83790e-02,5.56427e-01
4.94204e-02,5.17188e-01
5.04842e-02,4.80593e-01
5.15708e-02,4.46472e-01
5.26809e-02,4.14668e-01
5.38149e-02,3.85031e-01
5.49733e-02,3.57422e-01
5.61566e-02,3.31709e-01
5.73654e-02,3.07767e-01
5.86003e-02,2.85482e-01
5.98617e-02,2.64744e-01
6.11502e-02,2.45450e-01
6.24665e-02,2.27504e-01
6.38111e-02,2.10818e-01
6.51847e-02,1.95305e-01
6.65878e-02,1.80888e-01
6.80212e-02,1.67491e-01
6.94854e-02,1.55046e-01
7.09811e-02,1.43488e-01
7.25090e-02,1.32756e-01
