m1=1288.828, m2=17.262, gsp=2.302, rhosp=4482.831
fGW[Hz],dPh[rad]
7.31258e-03,3.82180e+03
7.54218e-03,3.57783e+03
7.77899e-03,3.34942e+03
8.02323e-03,3.13558e+03
8.27513e-03,2.93539e+03
8.53495e-03,2.74797e+03
8.80293e-03,2.57251e+03
9.07932e-03,2.40825e+03
9.36439e-03,2.25446e+03
9.65840e-03,2.11049e+03
9.96165e-03,1.97571e+03
1.02744e-02,1.84953e+03
1.05970e-02,1.73140e+03
1.09297e-02,1.62081e+03
1.12729e-02,1.51727e+03
1.16268e-02,1.42034e+03
1.19919e-02,1.32960e+03
1.23684e-02,1.24465e+03
1.27567e-02,1.16512e+03
1.31573e-02,1.09067e+03
1.35704e-02,1.02097e+03
1.39965e-02,9.55719e+02
1.44359e-02,8.94632e+02
1.48892e-02,8.37445e+02
1.53566e-02,7.83907e+02
1.58388e-02,7.33788e+02
1.63361e-02,6.86868e+02
1.68490e-02,6.42943e+02
1.73780e-02,6.01823e+02
1.79236e-02,5.63327e+02
1.84864e-02,5.27290e+02
1.90668e-02,4.93554e+02
1.96655e-02,4.61972e+02
2.02829e-02,4.32407e+02
2.09198e-02,4.04729e+02
2.15766e-02,3.78820e+02
2.22540e-02,3.54565e+02
2.29527e-02,3.31859e+02
2.36734e-02,3.10604e+02
2.44167e-02,2.90706e+02
2.51833e-02,2.72080e+02
2.59740e-02,2.54644e+02
2.67895e-02,2.38321e+02
2.76306e-02,2.23042e+02
2.84982e-02,2.08739e+02
2.93929e-02,1.95350e+02
3.03158e-02,1.82817e+02
3.12676e-02,1.71085e+02
3.22494e-02,1.60103e+02
3.32619e-02,1.49823e+02
3.43063e-02,1.40201e+02
3.53834e-02,1.31194e+02
3.64943e-02,1.22763e+02
3.76402e-02,1.14871e+02
3.88220e-02,1.07484e+02
4.00409e-02,1.00569e+02
4.12981e-02,9.40975e+01
4.25947e-02,8.80398e+01
4.39321e-02,8.23698e+01
4.53114e-02,7.70629e+01
4.67341e-02,7.20957e+01
4.82014e-02,6.74467e+01
4.97148e-02,6.30954e+01
5.12757e-02,5.90229e+01
5.28857e-02,5.52114e+01
5.45461e-02,5.16442e+01
5.62588e-02,4.83056e+01
5.80251e-02,4.51812e+01
5.98470e-02,4.22571e+01
6.17260e-02,3.95206e+01
6.36641e-02,3.69597e+01
6.56629e-02,3.45632e+01
6.77246e-02,3.23206e+01
6.98510e-02,3.02220e+01
7.20441e-02,2.82582e+01
7.43061e-02,2.64207e+01
7.66391e-02,2.47013e+01
7.90454e-02,2.30924e+01
8.15272e-02,2.15871e+01
8.40870e-02,2.01787e+01
8.67271e-02,1.88609e+01
8.94501e-02,1.76281e+01
9.22586e-02,1.64747e+01
9.51553e-02,1.53956e+01
9.81429e-02,1.43862e+01
1.01224e-01,1.34419e+01
1.04403e-01,1.25586e+01
1.07681e-01,1.17324e+01
1.11061e-01,1.09596e+01
1.14548e-01,1.02367e+01
1.18145e-01,9.56071e+00
1.21854e-01,8.92847e+00
1.25680e-01,8.33721e+00
1.29626e-01,7.78430e+00
1.33696e-01,7.26728e+00
1.37894e-01,6.78385e+00
1.42224e-01,6.33185e+00
1.46689e-01,5.90926e+00
1.51295e-01,5.51420e+00
1.56045e-01,5.14490e+00
1.60944e-01,4.79969e+00
1.65998e-01,4.47704e+00
1.71210e-01,4.17548e+00
1.76585e-01,3.89366e+00
1.82129e-01,3.63032e+00
1.87848e-01,3.38425e+00
1.93746e-01,3.15436e+00
1.99829e-01,2.93958e+00
2.06103e-01,2.73895e+00
2.12574e-01,2.55156e+00
