m1=3576.569, m2=19.504, gsp=2.327, rhosp=28.042
fGW[Hz],dPh[rad]
5.40680e-03,3.71668e+03
5.55635e-03,3.50744e+03
5.71003e-03,3.30994e+03
5.86796e-03,3.12354e+03
6.03026e-03,2.94760e+03
6.19705e-03,2.78154e+03
6.36846e-03,2.62481e+03
6.54460e-03,2.47689e+03
6.72562e-03,2.33727e+03
6.91164e-03,2.20550e+03
7.10280e-03,2.08113e+03
7.29926e-03,1.96375e+03
7.50115e-03,1.85296e+03
7.70862e-03,1.74840e+03
7.92183e-03,1.64972e+03
8.14094e-03,1.55658e+03
8.36611e-03,1.46868e+03
8.59750e-03,1.38572e+03
8.83530e-03,1.30742e+03
9.07967e-03,1.23353e+03
9.33080e-03,1.16379e+03
9.58888e-03,1.09797e+03
9.85410e-03,1.03586e+03
1.01266e-02,9.77242e+02
1.04067e-02,9.21921e+02
1.06946e-02,8.69713e+02
1.09904e-02,8.20443e+02
1.12944e-02,7.73947e+02
1.16067e-02,7.30069e+02
1.19278e-02,6.88661e+02
1.22577e-02,6.49585e+02
1.25967e-02,6.12710e+02
1.29451e-02,5.77913e+02
1.33032e-02,5.45076e+02
1.36711e-02,5.14090e+02
1.40492e-02,4.84851e+02
1.44378e-02,4.57261e+02
1.48372e-02,4.31226e+02
1.52475e-02,4.06660e+02
1.56693e-02,3.83480e+02
1.61026e-02,3.61609e+02
1.65480e-02,3.40972e+02
1.70057e-02,3.21500e+02
1.74761e-02,3.03128e+02
1.79594e-02,2.85795e+02
1.84562e-02,2.69441e+02
1.89667e-02,2.54011e+02
1.94913e-02,2.39454e+02
2.00304e-02,2.25721e+02
2.05844e-02,2.12765e+02
2.11537e-02,2.00543e+02
2.17388e-02,1.89012e+02
2.23401e-02,1.78135e+02
2.29580e-02,1.67875e+02
2.35929e-02,1.58197e+02
2.42455e-02,1.49067e+02
2.49161e-02,1.40456e+02
2.56052e-02,1.32334e+02
2.63135e-02,1.24673e+02
2.70412e-02,1.17448e+02
2.77892e-02,1.10634e+02
2.85578e-02,1.04207e+02
2.93477e-02,9.81470e+01
3.01594e-02,9.24319e+01
3.09936e-02,8.70427e+01
3.18508e-02,8.19609e+01
3.27317e-02,7.71693e+01
3.36371e-02,7.26515e+01
3.45674e-02,6.83920e+01
3.55235e-02,6.43762e+01
3.65060e-02,6.05904e+01
3.75158e-02,5.70216e+01
3.85534e-02,5.36575e+01
3.96197e-02,5.04866e+01
4.07156e-02,4.74979e+01
4.18417e-02,4.46811e+01
4.29990e-02,4.20266e+01
4.41883e-02,3.95250e+01
4.54105e-02,3.71678e+01
4.66665e-02,3.49468e+01
4.79572e-02,3.28542e+01
4.92837e-02,3.08828e+01
5.06468e-02,2.90257e+01
5.20476e-02,2.72764e+01
5.34872e-02,2.56288e+01
5.49666e-02,2.40771e+01
5.64869e-02,2.26159e+01
5.80492e-02,2.12400e+01
5.96548e-02,1.99445e+01
6.13048e-02,1.87249e+01
6.30004e-02,1.75768e+01
6.47429e-02,1.64962e+01
6.65336e-02,1.54792e+01
6.83738e-02,1.45222e+01
7.02650e-02,1.36217e+01
7.22084e-02,1.27745e+01
7.42056e-02,1.19776e+01
7.62580e-02,1.12281e+01
7.83672e-02,1.05232e+01
8.05348e-02,9.86041e+00
8.27623e-02,9.23728e+00
8.50514e-02,8.65153e+00
8.74038e-02,8.10100e+00
8.98212e-02,7.58367e+00
9.23056e-02,7.09760e+00
9.48586e-02,6.64100e+00
9.74823e-02,6.21215e+00
1.00179e-01,5.80945e+00
1.02949e-01,5.43136e+00
1.05797e-01,5.07646e+00
1.08723e-01,4.74339e+00
1.11730e-01,4.43088e+00
1.14820e-01,4.13772e+00
1.17996e-01,3.86278e+00
1.21260e-01,3.60498e+00
1.24614e-01,3.36331e+00
1.28060e-01,3.13682e+00
1.31602e-01,2.92462e+00
1.35242e-01,2.72584e+00
1.38983e-01,2.53970e+00
1.42827e-01,2.36544e+00
1.46778e-01,2.20234e+00
1.50837e-01,2.04975e+00
1.55009e-01,1.90701e+00
1.59297e-01,1.77355e+00
1.63702e-01,1.64879e+00
