m1=2034.361, m2=19.588, gsp=2.360, rhosp=4362.960
fGW[Hz],dPh[rad]
6.21906e-03,1.27433e+04
6.40478e-03,1.19808e+04
6.59604e-03,1.12638e+04
6.79302e-03,1.05896e+04
6.99587e-03,9.95580e+03
7.20479e-03,9.35986e+03
7.41994e-03,8.79954e+03
7.64152e-03,8.27272e+03
7.86972e-03,7.77740e+03
8.10473e-03,7.31170e+03
8.34676e-03,6.87383e+03
8.59602e-03,6.46215e+03
8.85272e-03,6.07509e+03
9.11709e-03,5.71117e+03
9.38935e-03,5.36901e+03
9.66974e-03,5.04732e+03
9.95850e-03,4.74486e+03
1.02559e-02,4.46050e+03
1.05622e-02,4.19314e+03
1.08776e-02,3.94177e+03
1.12024e-02,3.70543e+03
1.15369e-02,3.48324e+03
1.18815e-02,3.27433e+03
1.22363e-02,3.07793e+03
1.26017e-02,2.89327e+03
1.29780e-02,2.71966e+03
1.33656e-02,2.55644e+03
1.37647e-02,2.40299e+03
1.41758e-02,2.25872e+03
1.45991e-02,2.12308e+03
1.50350e-02,1.99557e+03
1.54840e-02,1.87568e+03
1.59464e-02,1.76297e+03
1.64226e-02,1.65701e+03
1.69131e-02,1.55740e+03
1.74181e-02,1.46374e+03
1.79383e-02,1.37570e+03
1.84740e-02,1.29293e+03
1.90257e-02,1.21512e+03
1.95938e-02,1.14197e+03
2.01789e-02,1.07320e+03
2.07815e-02,1.00855e+03
2.14021e-02,9.47773e+02
2.20413e-02,8.90641e+02
2.26995e-02,8.36933e+02
2.33773e-02,7.86445e+02
2.40754e-02,7.38984e+02
2.47944e-02,6.94370e+02
2.55348e-02,6.52431e+02
2.62974e-02,6.13008e+02
2.70827e-02,5.75951e+02
2.78914e-02,5.41117e+02
2.87244e-02,5.08374e+02
2.95821e-02,4.77597e+02
3.04656e-02,4.48668e+02
3.13753e-02,4.21476e+02
3.23123e-02,3.95918e+02
3.32772e-02,3.71896e+02
3.42710e-02,3.49317e+02
3.52944e-02,3.28096e+02
3.63484e-02,3.08151e+02
3.74338e-02,2.89406e+02
3.85517e-02,2.71788e+02
3.97030e-02,2.55231e+02
4.08886e-02,2.39671e+02
4.21097e-02,2.25049e+02
4.33672e-02,2.11307e+02
4.46622e-02,1.98393e+02
4.59960e-02,1.86258e+02
4.73695e-02,1.74855e+02
4.87841e-02,1.64140e+02
5.02409e-02,1.54073e+02
5.17413e-02,1.44613e+02
5.32864e-02,1.35724e+02
5.48777e-02,1.27374e+02
5.65165e-02,1.19528e+02
5.82042e-02,1.12157e+02
5.99424e-02,1.05232e+02
6.17324e-02,9.87274e+01
6.35759e-02,9.26168e+01
6.54745e-02,8.68768e+01
6.74297e-02,8.14853e+01
6.94433e-02,7.64214e+01
7.15171e-02,7.16653e+01
7.36528e-02,6.71985e+01
7.58523e-02,6.30036e+01
7.81174e-02,5.90644e+01
8.04502e-02,5.53654e+01
8.28527e-02,5.18921e+01
8.53269e-02,4.86311e+01
8.78750e-02,4.55694e+01
9.04992e-02,4.26952e+01
9.32017e-02,3.99971e+01
9.59850e-02,3.74644e+01
9.88514e-02,3.50873e+01
1.01803e-01,3.28564e+01
