m1=18967.468, m2=21.949, gsp=2.065, rhosp=2698.990
fGW[Hz],dPh[rad]
3.40675e-03,3.42834e+02
3.47978e-03,3.25908e+02
3.55437e-03,3.09801e+02
3.63056e-03,2.94474e+02
3.70839e-03,2.79888e+02
3.78789e-03,2.66010e+02
3.86908e-03,2.52804e+02
3.95202e-03,2.40239e+02
4.03674e-03,2.28284e+02
4.12328e-03,2.16910e+02
4.21166e-03,2.06089e+02
4.30195e-03,1.95794e+02
4.39417e-03,1.86001e+02
4.48836e-03,1.76685e+02
4.58458e-03,1.67823e+02
4.68285e-03,1.59394e+02
4.78324e-03,1.51377e+02
4.88577e-03,1.43751e+02
4.99051e-03,1.36499e+02
5.09749e-03,1.29602e+02
5.20676e-03,1.23044e+02
5.31837e-03,1.16807e+02
5.43238e-03,1.10877e+02
5.54883e-03,1.05238e+02
5.66778e-03,9.98770e+01
5.78928e-03,9.47802e+01
5.91338e-03,8.99349e+01
6.04014e-03,8.53290e+01
6.16962e-03,8.09509e+01
6.30187e-03,7.67896e+01
6.43696e-03,7.28346e+01
6.57495e-03,6.90759e+01
6.71589e-03,6.55042e+01
6.85986e-03,6.21102e+01
7.00691e-03,5.88854e+01
7.15711e-03,5.58215e+01
7.31054e-03,5.29108e+01
7.46725e-03,5.01459e+01
7.62732e-03,4.75196e+01
7.79082e-03,4.50252e+01
7.95783e-03,4.26562e+01
8.12842e-03,4.04066e+01
8.30266e-03,3.82706e+01
8.48064e-03,3.62425e+01
8.66244e-03,3.43172e+01
8.84813e-03,3.24895e+01
9.03780e-03,3.07548e+01
9.23154e-03,2.91084e+01
9.42944e-03,2.75460e+01
9.63157e-03,2.60635e+01
9.83804e-03,2.46570e+01
1.00489e-02,2.33227e+01
1.02643e-02,2.20570e+01
1.04844e-02,2.08566e+01
1.07091e-02,1.97183e+01
1.09387e-02,1.86389e+01
1.11732e-02,1.76156e+01
1.14127e-02,1.66455e+01
1.16573e-02,1.57260e+01
1.19072e-02,1.48547e+01
1.21625e-02,1.40290e+01
1.24232e-02,1.32468e+01
1.26895e-02,1.25057e+01
1.29615e-02,1.18039e+01
1.32394e-02,1.11392e+01
1.35232e-02,1.05099e+01
1.38131e-02,9.91416e+00
1.41092e-02,9.35024e+00
1.44116e-02,8.81657e+00
1.47206e-02,8.31160e+00
1.50361e-02,7.83387e+00
1.53584e-02,7.38200e+00
1.56877e-02,6.95467e+00
1.60240e-02,6.55062e+00
1.63675e-02,6.16865e+00
1.67183e-02,5.80763e+00
1.70767e-02,5.46648e+00
1.74428e-02,5.14416e+00
1.78167e-02,4.83971e+00
1.81986e-02,4.55219e+00
1.85887e-02,4.28071e+00
1.89872e-02,4.02445e+00
1.93942e-02,3.78260e+00
1.98100e-02,3.55439e+00
2.02346e-02,3.33912e+00
2.06684e-02,3.13609e+00
2.11114e-02,2.94466e+00
2.15640e-02,2.76420e+00
2.20262e-02,2.59413e+00
2.24984e-02,2.43389e+00
2.29807e-02,2.28294e+00
2.34733e-02,2.14080e+00
2.39765e-02,2.00696e+00
2.44905e-02,1.88100e+00
2.50155e-02,1.76246e+00
2.55517e-02,1.65095e+00
2.60995e-02,1.54608e+00
2.66589e-02,1.44747e+00
2.72304e-02,1.35478e+00
2.78141e-02,1.26768e+00
2.84104e-02,1.18586e+00
2.90194e-02,1.10901e+00
2.96415e-02,1.03686e+00
3.02769e-02,9.69127e-01
3.09259e-02,9.05574e-01
3.15888e-02,8.45954e-01
3.22660e-02,7.90040e-01
3.29577e-02,7.37619e-01
3.36642e-02,6.88486e-01
3.43858e-02,6.42449e-01
3.51229e-02,5.99325e-01
3.58758e-02,5.58942e-01
3.66449e-02,5.21137e-01
3.74304e-02,4.85757e-01
3.82328e-02,4.52655e-01
3.90524e-02,4.21695e-01
3.98895e-02,3.92746e-01
4.07446e-02,3.65685e-01
4.16180e-02,3.40398e-01
4.25102e-02,3.16775e-01
4.34214e-02,2.94714e-01
