m1=2409.935, m2=83.011, gsp=2.251, rhosp=846.904
fGW[Hz],dPh[rad]
3.47914e-03,2.78279e+02
3.59067e-03,2.59889e+02
3.70577e-03,2.42715e+02
3.82457e-03,2.26675e+02
3.94717e-03,2.11694e+02
4.07371e-03,1.97704e+02
4.20430e-03,1.84637e+02
4.33908e-03,1.72434e+02
4.47817e-03,1.61038e+02
4.62173e-03,1.50394e+02
4.76989e-03,1.40454e+02
4.92280e-03,1.31170e+02
5.08061e-03,1.22500e+02
5.24348e-03,1.14403e+02
5.41157e-03,1.06840e+02
5.58505e-03,9.97775e+01
5.76409e-03,9.31816e+01
5.94887e-03,8.70214e+01
6.13957e-03,8.12683e+01
6.33639e-03,7.58954e+01
6.53951e-03,7.08775e+01
6.74915e-03,6.61912e+01
6.96551e-03,6.18145e+01
7.18880e-03,5.77271e+01
7.41926e-03,5.39098e+01
7.65709e-03,5.03447e+01
7.90256e-03,4.70152e+01
8.15589e-03,4.39058e+01
8.41735e-03,4.10018e+01
8.68718e-03,3.82898e+01
8.96567e-03,3.57570e+01
9.25308e-03,3.33916e+01
9.54971e-03,3.11826e+01
9.85584e-03,2.91195e+01
1.01718e-02,2.71928e+01
1.04979e-02,2.53935e+01
1.08344e-02,2.37131e+01
1.11817e-02,2.21437e+01
1.15402e-02,2.06781e+01
1.19101e-02,1.93094e+01
1.22919e-02,1.80312e+01
1.26860e-02,1.68374e+01
1.30926e-02,1.57226e+01
1.35123e-02,1.46815e+01
1.39455e-02,1.37092e+01
1.43926e-02,1.28012e+01
1.48539e-02,1.19533e+01
1.53301e-02,1.11614e+01
1.58216e-02,1.04219e+01
1.63288e-02,9.73129e+00
1.68522e-02,9.08635e+00
1.73924e-02,8.48407e+00
1.79500e-02,7.92162e+00
1.85254e-02,7.39638e+00
1.91193e-02,6.90588e+00
1.97322e-02,6.44783e+00
2.03647e-02,6.02008e+00
2.10176e-02,5.62063e+00
2.16913e-02,5.24762e+00
2.23867e-02,4.89929e+00
2.31044e-02,4.57401e+00
2.38450e-02,4.27026e+00
2.46094e-02,3.98661e+00
2.53983e-02,3.72174e+00
2.62125e-02,3.47440e+00
2.70528e-02,3.24345e+00
2.79200e-02,3.02778e+00
2.88151e-02,2.82640e+00
2.97388e-02,2.63835e+00
3.06921e-02,2.46276e+00
3.16760e-02,2.29880e+00
3.26915e-02,2.14571e+00
3.37395e-02,2.00276e+00
3.48211e-02,1.86928e+00
3.59373e-02,1.74466e+00
3.70894e-02,1.62829e+00
3.82783e-02,1.51964e+00
3.95054e-02,1.41820e+00
4.07719e-02,1.32349e+00
4.20789e-02,1.23505e+00
4.34278e-02,1.15249e+00
4.48200e-02,1.07541e+00
4.62568e-02,1.00344e+00
4.77396e-02,9.36258e-01
4.92700e-02,8.73534e-01
5.08495e-02,8.14977e-01
5.24796e-02,7.60311e-01
5.41619e-02,7.09279e-01
5.58982e-02,6.61640e-01
5.76901e-02,6.17170e-01
5.95395e-02,5.75658e-01
6.14481e-02,5.36909e-01
6.34180e-02,5.00741e-01
6.54510e-02,4.66981e-01
6.75491e-02,4.35470e-01
6.97146e-02,4.06059e-01
7.19494e-02,3.78610e-01
7.42559e-02,3.52992e-01
7.66363e-02,3.29084e-01
7.90931e-02,3.06772e-01
8.16285e-02,2.85951e-01
8.42453e-02,2.66521e-01
8.69460e-02,2.48391e-01
8.97332e-02,2.31474e-01
9.26098e-02,2.15689e-01
9.55786e-02,2.00962e-01
9.86426e-02,1.87223e-01
1.01805e-01,1.74405e-01
1.05068e-01,1.62448e-01
1.08436e-01,1.51293e-01
1.11913e-01,1.40889e-01
1.15500e-01,1.31185e-01
1.19203e-01,1.22134e-01
1.23024e-01,1.13694e-01
1.26968e-01,1.05823e-01
1.31038e-01,9.84830e-02
1.35239e-01,9.16394e-02
1.39574e-01,8.52589e-02
1.44049e-01,7.93107e-02
1.48666e-01,7.37658e-02
1.53432e-01,6.85973e-02
1.58351e-01,6.37803e-02
1.63427e-01,5.92910e-02
1.68666e-01,5.51078e-02
1.74073e-01,5.12100e-02
1.79653e-01,4.75787e-02
1.85412e-01,4.41959e-02
1.91356e-01,4.10451e-02
1.97490e-01,3.81106e-02
2.03821e-01,3.53780e-02
2.10355e-01,3.28337e-02
2.17099e-01,3.04651e-02
2.24058e-01,2.82603e-02
2.31241e-01,2.62083e-02
2.38654e-01,2.42988e-02
2.46304e-01,2.25223e-02
2.54200e-01,2.08697e-02
2.62349e-01,1.93326e-02
2.70759e-01,1.79033e-02
2.79439e-01,1.65744e-02
2.88397e-01,1.53392e-02
2.97642e-01,1.41912e-02
3.07183e-01,1.31245e-02
3.17031e-01,1.21336e-02
3.27194e-01,1.12134e-02
3.37683e-01,1.03589e-02
3.48508e-01,9.56574e-03
3.59680e-01,8.82964e-03
3.71210e-01,8.14670e-03
3.83110e-01,7.51325e-03
3.95392e-01,6.92588e-03
4.08067e-01,6.38140e-03
4.21148e-01,5.87684e-03
4.34649e-01,5.40942e-03
4.48582e-01,4.97654e-03
4.62963e-01,4.57581e-03
4.77804e-01,4.20496e-03
4.93121e-01,3.86189e-03
5.08929e-01,3.54465e-03
5.25244e-01,3.25139e-03
5.42081e-01,2.98043e-03
5.59459e-01,2.73017e-03
5.77394e-01,2.49913e-03
5.95903e-01,2.28592e-03
6.15006e-01,2.08927e-03
6.34721e-01,1.90797e-03
6.55069e-01,1.74091e-03
6.76068e-01,1.58703e-03
6.97741e-01,1.44538e-03
7.20108e-01,1.31505e-03
7.43193e-01,1.19520e-03
7.67018e-01,1.08505e-03
7.91606e-01,9.83865e-04
8.16982e-01,8.90973e-04
8.43172e-01,8.05742e-04
8.70202e-01,7.27586e-04
8.98098e-01,6.55962e-04
9.26889e-01,5.90363e-04
9.56602e-01,5.30320e-04
9.87268e-01,4.75396e-04
1.01892e+00,4.25187e-04
1.05158e+00,3.79318e-04
1.08529e+00,3.37441e-04
1.12008e+00,2.99233e-04
1.15599e+00,2.64396e-04
1.19305e+00,2.32652e-04
1.23129e+00,2.03748e-04
1.27076e+00,1.77446e-04
1.31150e+00,1.53528e-04
1.35354e+00,1.31793e-04
1.39693e+00,1.12054e-04
1.44172e+00,9.41404e-05
1.48793e+00,7.78939e-05
1.53563e+00,6.31690e-05
1.58486e+00,4.98322e-05
1.63566e+00,3.77603e-05
1.68810e+00,2.68406e-05
1.74221e+00,1.69693e-05
1.79807e+00,8.05145e-06
1.85571e+00,0.00000e+00
