m1=11862.176, m2=20.842, gsp=2.499, rhosp=2941.385
fGW[Hz],dPh[rad]
3.90629e-03,4.17872e+05
3.99671e-03,3.98631e+05
4.08922e-03,3.80260e+05
4.18387e-03,3.62722e+05
4.28071e-03,3.45977e+05
4.37979e-03,3.29991e+05
4.48117e-03,3.14729e+05
4.58489e-03,3.00160e+05
4.69101e-03,2.86251e+05
4.79959e-03,2.72973e+05
4.91069e-03,2.60298e+05
5.02435e-03,2.48199e+05
5.14065e-03,2.36650e+05
5.25963e-03,2.25626e+05
5.38137e-03,2.15103e+05
5.50593e-03,2.05059e+05
5.63338e-03,1.95473e+05
5.76377e-03,1.86324e+05
5.89718e-03,1.77592e+05
6.03368e-03,1.69258e+05
6.17333e-03,1.61305e+05
6.31622e-03,1.53715e+05
6.46242e-03,1.46473e+05
6.61200e-03,1.39561e+05
6.76505e-03,1.32966e+05
6.92163e-03,1.26674e+05
7.08184e-03,1.20670e+05
7.24576e-03,1.14941e+05
7.41347e-03,1.09476e+05
7.58507e-03,1.04262e+05
7.76064e-03,9.92878e+04
7.94027e-03,9.45429e+04
8.12405e-03,9.00167e+04
8.31210e-03,8.56994e+04
8.50449e-03,8.15816e+04
8.70134e-03,7.76543e+04
8.90274e-03,7.39087e+04
9.10881e-03,7.03368e+04
9.31964e-03,6.69306e+04
9.53536e-03,6.36827e+04
9.75607e-03,6.05859e+04
9.98188e-03,5.76333e+04
1.02129e-02,5.48184e+04
1.04493e-02,5.21350e+04
1.06912e-02,4.95770e+04
1.09386e-02,4.71389e+04
1.11918e-02,4.48151e+04
1.14509e-02,4.26005e+04
1.17159e-02,4.04900e+04
1.19871e-02,3.84790e+04
1.22646e-02,3.65630e+04
1.25484e-02,3.47375e+04
1.28389e-02,3.29985e+04
1.31361e-02,3.13420e+04
1.34401e-02,2.97642e+04
1.37512e-02,2.82616e+04
1.40695e-02,2.68307e+04
1.43952e-02,2.54683e+04
1.47284e-02,2.41711e+04
1.50693e-02,2.29362e+04
1.54181e-02,2.17607e+04
1.57749e-02,2.06420e+04
1.61401e-02,1.95773e+04
1.65137e-02,1.85643e+04
1.68959e-02,1.76004e+04
1.72870e-02,1.66835e+04
1.76871e-02,1.58114e+04
1.80965e-02,1.49819e+04
1.85153e-02,1.41932e+04
1.89439e-02,1.34434e+04
1.93824e-02,1.27305e+04
1.98310e-02,1.20529e+04
2.02900e-02,1.14090e+04
2.07597e-02,1.07972e+04
2.12402e-02,1.02159e+04
2.17318e-02,9.66378e+03
2.22348e-02,9.13942e+03
2.27495e-02,8.64152e+03
2.32761e-02,8.16884e+03
2.38148e-02,7.72018e+03
2.43660e-02,7.29439e+03
2.49300e-02,6.89040e+03
2.55071e-02,6.50717e+03
2.60975e-02,6.14370e+03
2.67015e-02,5.79904e+03
2.73196e-02,5.47230e+03
2.79519e-02,5.16261e+03
2.85989e-02,4.86914e+03
2.92608e-02,4.59112e+03
2.99381e-02,4.32779e+03
3.06311e-02,4.07843e+03
3.13401e-02,3.84237e+03
3.20655e-02,3.61894e+03
3.28077e-02,3.40753e+03
3.35671e-02,3.20754e+03
3.43440e-02,3.01841e+03
3.51390e-02,2.83959e+03
3.59523e-02,2.67057e+03
3.67845e-02,2.51085e+03
3.76359e-02,2.35997e+03
3.85070e-02,2.21748e+03
3.93983e-02,2.08296e+03
4.03102e-02,1.95599e+03
4.12433e-02,1.83618e+03
4.21979e-02,1.72318e+03
4.31746e-02,1.61662e+03
4.41740e-02,1.51617e+03
4.51964e-02,1.42150e+03
4.62426e-02,1.33233e+03
4.73129e-02,1.24834e+03
4.84080e-02,1.16927e+03
4.95285e-02,1.09486e+03
5.06749e-02,1.02485e+03
5.18478e-02,9.59011e+02
5.30479e-02,8.97108e+02
5.42758e-02,8.38927e+02
5.55321e-02,7.84265e+02
5.68174e-02,7.32926e+02
5.81326e-02,6.84725e+02
5.94781e-02,6.39486e+02
6.08548e-02,5.97043e+02
6.22634e-02,5.57236e+02
6.37046e-02,5.19915e+02
6.51791e-02,4.84937e+02
6.66877e-02,4.52167e+02
6.82313e-02,4.21476e+02
6.98106e-02,3.92742e+02
