m1=2303.176, m2=13.368, gsp=2.290, rhosp=47.487
fGW[Hz],dPh[rad]
6.95450e-03,2.28534e+03
7.15362e-03,2.15099e+03
7.35845e-03,2.02452e+03
7.56915e-03,1.90547e+03
7.78587e-03,1.79341e+03
8.00881e-03,1.68792e+03
8.23812e-03,1.58863e+03
8.47400e-03,1.49516e+03
8.71664e-03,1.40718e+03
8.96622e-03,1.32436e+03
9.22295e-03,1.24641e+03
9.48703e-03,1.17303e+03
9.75867e-03,1.10396e+03
1.00381e-02,1.03894e+03
1.03255e-02,9.77745e+02
1.06212e-02,9.20141e+02
1.09253e-02,8.65920e+02
1.12381e-02,8.14883e+02
1.15599e-02,7.66844e+02
1.18909e-02,7.21627e+02
1.22313e-02,6.79066e+02
1.25816e-02,6.39005e+02
1.29418e-02,6.01299e+02
1.33124e-02,5.65808e+02
1.36935e-02,5.32403e+02
1.40856e-02,5.00961e+02
1.44889e-02,4.71368e+02
1.49038e-02,4.43514e+02
1.53305e-02,4.17298e+02
1.57695e-02,3.92623e+02
1.62210e-02,3.69400e+02
1.66855e-02,3.47543e+02
1.71632e-02,3.26971e+02
1.76547e-02,3.07610e+02
1.81602e-02,2.89388e+02
1.86802e-02,2.72239e+02
1.92150e-02,2.56099e+02
1.97652e-02,2.40909e+02
2.03311e-02,2.26614e+02
2.09133e-02,2.13161e+02
2.15121e-02,2.00500e+02
2.21280e-02,1.88586e+02
2.27616e-02,1.77373e+02
2.34134e-02,1.66822e+02
2.40838e-02,1.56893e+02
2.47734e-02,1.47549e+02
2.54827e-02,1.38756e+02
2.62123e-02,1.30483e+02
2.69629e-02,1.22697e+02
2.77349e-02,1.15372e+02
2.85290e-02,1.08479e+02
2.93459e-02,1.01993e+02
3.01861e-02,9.58906e+01
3.10505e-02,9.01489e+01
3.19395e-02,8.47467e+01
3.28541e-02,7.96642e+01
3.37948e-02,7.48824e+01
3.47624e-02,7.03838e+01
3.57578e-02,6.61516e+01
3.67816e-02,6.21702e+01
3.78348e-02,5.84248e+01
3.89181e-02,5.49016e+01
4.00324e-02,5.15874e+01
4.11787e-02,4.84700e+01
4.23577e-02,4.55378e+01
4.35706e-02,4.27799e+01
4.48181e-02,4.01859e+01
4.61014e-02,3.77463e+01
4.74214e-02,3.54520e+01
4.87792e-02,3.32943e+01
5.01759e-02,3.12653e+01
5.16126e-02,2.93574e+01
5.30904e-02,2.75633e+01
5.46106e-02,2.58764e+01
5.61742e-02,2.42904e+01
5.77827e-02,2.27993e+01
5.94371e-02,2.13975e+01
6.11390e-02,2.00797e+01
6.28896e-02,1.88410e+01
6.46903e-02,1.76767e+01
6.65426e-02,1.65824e+01
6.84479e-02,1.55539e+01
7.04077e-02,1.45874e+01
7.24237e-02,1.36791e+01
7.44974e-02,1.28257e+01
7.66305e-02,1.20239e+01
7.88247e-02,1.12706e+01
8.10817e-02,1.05629e+01
8.34033e-02,9.89819e+00
8.57913e-02,9.27385e+00
8.82478e-02,8.68750e+00
9.07746e-02,8.13688e+00
9.33737e-02,7.61986e+00
9.60473e-02,7.13445e+00
9.87974e-02,6.67875e+00
1.01626e-01,6.25100e+00
1.04536e-01,5.84953e+00
1.07529e-01,5.47277e+00
1.10608e-01,5.11924e+00
1.13775e-01,4.78756e+00
1.17033e-01,4.47641e+00
1.20384e-01,4.18456e+00
1.23831e-01,3.91086e+00
1.27377e-01,3.65422e+00
1.31024e-01,3.41361e+00
1.34775e-01,3.18806e+00
1.38634e-01,2.97667e+00
1.42604e-01,2.77858e+00
1.46687e-01,2.59299e+00
1.50887e-01,2.41914e+00
1.55207e-01,2.25633e+00
1.59651e-01,2.10387e+00
1.64223e-01,1.96115e+00
1.68925e-01,1.82756e+00
1.73762e-01,1.70255e+00
1.78737e-01,1.58560e+00
1.83855e-01,1.47621e+00
1.89119e-01,1.37392e+00
1.94534e-01,1.27829e+00
2.00104e-01,1.18891e+00
2.05834e-01,1.10540e+00
2.11727e-01,1.02738e+00
2.17790e-01,9.54526e-01
2.24026e-01,8.86509e-01
2.30440e-01,8.23027e-01
2.37038e-01,7.63796e-01
2.43826e-01,7.08549e-01
2.50807e-01,6.57036e-01
2.57988e-01,6.09020e-01
2.65375e-01,5.64278e-01
2.72974e-01,5.22604e-01
2.80790e-01,4.83799e-01
2.88830e-01,4.47681e-01
2.97100e-01,4.14076e-01
3.05606e-01,3.82821e-01
3.14357e-01,3.53764e-01
3.23358e-01,3.26761e-01
3.32617e-01,3.01677e-01
3.42140e-01,2.78387e-01
3.51937e-01,2.56770e-01
3.62014e-01,2.36717e-01
3.72379e-01,2.18121e-01
3.83042e-01,2.00886e-01
3.94009e-01,1.84919e-01
4.05291e-01,1.70133e-01
4.16895e-01,1.56449e-01
4.28832e-01,1.43790e-01
4.41111e-01,1.32085e-01
4.53741e-01,1.21267e-01
4.66733e-01,1.11275e-01
4.80097e-01,1.02050e-01
4.93844e-01,9.35382e-02
5.07984e-01,8.56877e-02
5.22529e-01,7.84513e-02
5.37491e-01,7.17845e-02
5.52881e-01,6.56457e-02
5.68711e-01,5.99960e-02
5.84995e-01,5.47993e-02
6.01745e-01,5.00219e-02
6.18975e-01,4.56322e-02
6.36698e-01,4.16009e-02
6.54929e-01,3.79008e-02
6.73681e-01,3.45064e-02
6.92971e-01,3.13942e-02
7.12812e-01,2.85423e-02
7.33222e-01,2.59301e-02
7.54217e-01,2.35389e-02
7.75812e-01,2.13510e-02
7.98026e-01,1.93502e-02
8.20876e-01,1.75215e-02
8.44380e-01,1.58508e-02
8.68557e-01,1.43253e-02
8.93426e-01,1.29331e-02
9.19008e-01,1.16631e-02
9.45321e-01,1.05051e-02
9.72389e-01,9.44981e-03
1.00023e+00,8.48850e-03
1.02887e+00,7.61322e-03
1.05833e+00,6.81662e-03
1.08863e+00,6.09195e-03
1.11980e+00,5.43299e-03
1.15187e+00,4.83404e-03
1.18485e+00,4.28985e-03
1.21877e+00,3.79562e-03
1.25367e+00,3.34694e-03
1.28957e+00,2.93976e-03
1.32649e+00,2.57038e-03
1.36447e+00,2.23542e-03
1.40354e+00,1.93177e-03
1.44373e+00,1.65660e-03
1.48507e+00,1.40733e-03
1.52759e+00,1.18158e-03
1.57133e+00,9.77211e-04
1.61632e+00,7.92246e-04
1.66260e+00,6.24894e-04
1.71021e+00,4.73520e-04
1.75917e+00,3.36638e-04
1.80954e+00,2.12893e-04
1.86136e+00,1.01054e-04
1.91465e+00,0.00000e+00
