m1=14410.364, m2=4.950, gsp=2.496, rhosp=850.229
fGW[Hz],dPh[rad]
6.37785e-03,1.52794e+06
6.50304e-03,1.46048e+06
6.63068e-03,1.39581e+06
6.76082e-03,1.33383e+06
6.89352e-03,1.27443e+06
7.02883e-03,1.21751e+06
7.16679e-03,1.16296e+06
7.30745e-03,1.11071e+06
7.45088e-03,1.06064e+06
7.59713e-03,1.01269e+06
7.74624e-03,9.66762e+05
7.89828e-03,9.22776e+05
8.05331e-03,8.80657e+05
8.21137e-03,8.40329e+05
8.37254e-03,8.01722e+05
8.53688e-03,7.64766e+05
8.70444e-03,7.29395e+05
8.87529e-03,6.95545e+05
9.04949e-03,6.63156e+05
9.22711e-03,6.32168e+05
9.40822e-03,6.02524e+05
9.59288e-03,5.74171e+05
9.78116e-03,5.47056e+05
9.97315e-03,5.21128e+05
1.01689e-02,4.96339e+05
1.03685e-02,4.72644e+05
1.05720e-02,4.49996e+05
1.07795e-02,4.28353e+05
1.09911e-02,4.07675e+05
1.12068e-02,3.87920e+05
1.14268e-02,3.69051e+05
1.16511e-02,3.51031e+05
1.18797e-02,3.33826e+05
1.21129e-02,3.17400e+05
1.23507e-02,3.01722e+05
1.25931e-02,2.86760e+05
1.28402e-02,2.72484e+05
1.30923e-02,2.58865e+05
1.33492e-02,2.45876e+05
1.36113e-02,2.33489e+05
1.38784e-02,2.21679e+05
1.41508e-02,2.10422e+05
1.44286e-02,1.99693e+05
1.47118e-02,1.89471e+05
1.50005e-02,1.79732e+05
1.52950e-02,1.70457e+05
1.55952e-02,1.61625e+05
1.59013e-02,1.53216e+05
1.62134e-02,1.45212e+05
1.65316e-02,1.37596e+05
1.68561e-02,1.30350e+05
1.71869e-02,1.23458e+05
1.75243e-02,1.16903e+05
1.78682e-02,1.10672e+05
1.82189e-02,1.04748e+05
1.85765e-02,9.91193e+04
1.89411e-02,9.37714e+04
1.93129e-02,8.86917e+04
1.96920e-02,8.38679e+04
2.00785e-02,7.92883e+04
2.04726e-02,7.49415e+04
2.08744e-02,7.08167e+04
2.12841e-02,6.69035e+04
2.17019e-02,6.31921e+04
2.21279e-02,5.96729e+04
2.25622e-02,5.63368e+04
2.30050e-02,5.31750e+04
2.34566e-02,5.01793e+04
2.39170e-02,4.73415e+04
2.43864e-02,4.46541e+04
2.48650e-02,4.21098e+04
2.53531e-02,3.97015e+04
2.58507e-02,3.74226e+04
2.63581e-02,3.52666e+04
2.68754e-02,3.32275e+04
2.74029e-02,3.12994e+04
2.79408e-02,2.94767e+04
2.84892e-02,2.77541e+04
2.90484e-02,2.61266e+04
2.96186e-02,2.45892e+04
3.01999e-02,2.31374e+04
3.07927e-02,2.17667e+04
3.13970e-02,2.04729e+04
