m1=1750.131, m2=11.189, gsp=2.357, rhosp=419.524
fGW[Hz],dPh[rad]
7.96317e-03,1.25944e+04
8.19692e-03,1.18519e+04
8.43753e-03,1.11530e+04
8.68521e-03,1.04953e+04
8.94015e-03,9.87636e+03
9.20258e-03,9.29382e+03
9.47271e-03,8.74558e+03
9.75078e-03,8.22961e+03
1.00370e-02,7.74403e+03
1.03316e-02,7.28704e+03
1.06349e-02,6.85695e+03
1.09471e-02,6.45220e+03
1.12684e-02,6.07128e+03
1.15992e-02,5.71279e+03
1.19397e-02,5.37542e+03
1.22902e-02,5.05792e+03
1.26509e-02,4.75912e+03
1.30223e-02,4.47792e+03
1.34045e-02,4.21329e+03
1.37980e-02,3.96425e+03
1.42030e-02,3.72988e+03
1.46200e-02,3.50932e+03
1.50491e-02,3.30176e+03
1.54909e-02,3.10643e+03
1.59456e-02,2.92261e+03
1.64136e-02,2.74963e+03
1.68954e-02,2.58685e+03
1.73914e-02,2.43366e+03
1.79019e-02,2.28951e+03
1.84274e-02,2.15385e+03
1.89683e-02,2.02620e+03
1.95251e-02,1.90607e+03
2.00983e-02,1.79303e+03
2.06882e-02,1.68666e+03
2.12955e-02,1.58657e+03
2.19206e-02,1.49238e+03
2.25641e-02,1.40375e+03
2.32264e-02,1.32035e+03
2.39082e-02,1.24188e+03
2.46100e-02,1.16804e+03
2.53324e-02,1.09856e+03
2.60760e-02,1.03318e+03
2.68415e-02,9.71670e+02
2.76294e-02,9.13791e+02
2.84404e-02,8.59333e+02
2.92752e-02,8.08095e+02
3.01346e-02,7.59885e+02
3.10191e-02,7.14527e+02
3.19297e-02,6.71852e+02
3.28669e-02,6.31702e+02
3.38317e-02,5.93928e+02
3.48248e-02,5.58390e+02
3.58471e-02,5.24957e+02
3.68993e-02,4.93504e+02
3.79825e-02,4.63914e+02
3.90974e-02,4.36079e+02
4.02451e-02,4.09893e+02
4.14264e-02,3.85261e+02
4.26425e-02,3.62090e+02
4.38942e-02,3.40294e+02
4.51827e-02,3.19792e+02
4.65089e-02,3.00508e+02
4.78742e-02,2.82370e+02
4.92795e-02,2.65311e+02
5.07260e-02,2.49266e+02
5.22150e-02,2.34175e+02
5.37478e-02,2.19984e+02
5.53255e-02,2.06637e+02
5.69495e-02,1.94086e+02
5.86212e-02,1.82283e+02
6.03420e-02,1.71185e+02
6.21132e-02,1.60749e+02
6.39365e-02,1.50936e+02
6.58133e-02,1.41711e+02
6.77452e-02,1.33037e+02
6.97338e-02,1.24882e+02
7.17807e-02,1.17216e+02
7.38878e-02,1.10009e+02
7.60567e-02,1.03235e+02
7.82893e-02,9.68673e+01
8.05874e-02,9.08826e+01
8.29529e-02,8.52579e+01
8.53879e-02,7.99719e+01
8.78944e-02,7.50046e+01
9.04745e-02,7.03369e+01
9.31303e-02,6.59511e+01
9.58640e-02,6.18306e+01
9.86780e-02,5.79594e+01
1.01575e-01,5.43229e+01
1.04556e-01,5.09071e+01
1.07625e-01,4.76988e+01
1.10785e-01,4.46857e+01
1.14037e-01,4.18562e+01
1.17384e-01,3.91993e+01
1.20830e-01,3.67048e+01
1.24377e-01,3.43630e+01
1.28028e-01,3.21647e+01
1.31786e-01,3.01014e+01
1.35654e-01,2.81650e+01
1.39636e-01,2.63479e+01
1.43735e-01,2.46430e+01
1.47954e-01,2.30436e+01
1.52297e-01,2.15433e+01
1.56768e-01,2.01362e+01
1.61369e-01,1.88166e+01
1.66106e-01,1.75794e+01
1.70982e-01,1.64196e+01
1.76001e-01,1.53325e+01
1.81168e-01,1.43136e+01
1.86486e-01,1.33590e+01
1.91960e-01,1.24646e+01
1.97594e-01,1.16270e+01
2.03395e-01,1.08425e+01
2.09365e-01,1.01080e+01
2.15511e-01,9.42042e+00
2.21837e-01,8.77694e+00
2.28349e-01,8.17484e+00
2.35052e-01,7.61160e+00
2.41951e-01,7.08482e+00
2.49054e-01,6.59228e+00
2.56364e-01,6.13186e+00
2.63890e-01,5.70158e+00
2.71636e-01,5.29958e+00
2.79610e-01,4.92411e+00
2.87817e-01,4.57351e+00
2.96266e-01,4.24624e+00
3.04962e-01,3.94083e+00
3.13914e-01,3.65593e+00
3.23129e-01,3.39023e+00
3.32614e-01,3.14253e+00
3.42378e-01,2.91169e+00
3.52428e-01,2.69664e+00
3.62773e-01,2.49638e+00
3.73422e-01,2.30994e+00
3.84383e-01,2.13646e+00
3.95666e-01,1.97509e+00
4.07281e-01,1.82504e+00
4.19236e-01,1.68559e+00
4.31542e-01,1.55603e+00
4.44210e-01,1.43572e+00
4.57249e-01,1.32406e+00
4.70671e-01,1.22045e+00
4.84487e-01,1.12437e+00
4.98709e-01,1.03532e+00
5.13348e-01,9.52814e-01
5.28417e-01,8.76413e-01
5.43928e-01,8.05701e-01
5.59895e-01,7.40287e-01
5.76330e-01,6.79805e-01
5.93247e-01,6.23912e-01
6.10662e-01,5.72288e-01
6.28587e-01,5.24631e-01
6.47038e-01,4.80661e-01
6.66032e-01,4.40115e-01
6.85582e-01,4.02746e-01
7.05707e-01,3.68324e-01
7.26422e-01,3.36636e-01
7.47746e-01,3.07479e-01
7.69695e-01,2.80667e-01
7.92289e-01,2.56025e-01
8.15546e-01,2.33390e-01
8.39485e-01,2.12610e-01
8.64127e-01,1.93545e-01
8.89493e-01,1.76062e-01
9.15603e-01,1.60039e-01
9.42480e-01,1.45363e-01
9.70145e-01,1.31928e-01
9.98623e-01,1.19635e-01
1.02794e+00,1.08394e-01
1.05811e+00,9.81202e-02
1.08917e+00,8.87356e-02
1.12114e+00,8.01677e-02
1.15405e+00,7.23495e-02
1.18793e+00,6.52193e-02
1.22280e+00,5.87198e-02
1.25869e+00,5.27982e-02
1.29564e+00,4.74058e-02
1.33367e+00,4.24978e-02
1.37282e+00,3.80327e-02
1.41312e+00,3.39726e-02
1.45460e+00,3.02823e-02
1.49730e+00,2.69298e-02
1.54125e+00,2.38855e-02
1.58649e+00,2.11222e-02
1.63306e+00,1.86151e-02
1.68100e+00,1.63413e-02
1.73034e+00,1.42800e-02
1.78114e+00,1.24120e-02
1.83342e+00,1.07199e-02
1.88724e+00,9.18768e-03
1.94263e+00,7.80072e-03
1.99966e+00,6.54571e-03
2.05836e+00,5.41047e-03
2.11878e+00,4.38392e-03
2.18097e+00,3.45594e-03
2.24499e+00,2.61733e-03
2.31089e+00,1.85972e-03
2.37873e+00,1.17547e-03
2.44855e+00,5.57668e-04
2.52043e+00,0.00000e+00
