m1=2018.492, m2=6.637, gsp=2.159, rhosp=33.041
fGW[Hz],dPh[rad]
9.34298e-03,3.36942e+02
9.60255e-03,3.16898e+02
9.86934e-03,2.98044e+02
1.01435e-02,2.80307e+02
1.04254e-02,2.63623e+02
1.07150e-02,2.47929e+02
1.10127e-02,2.33166e+02
1.13186e-02,2.19279e+02
1.16331e-02,2.06216e+02
1.19563e-02,1.93928e+02
1.22885e-02,1.82370e+02
1.26299e-02,1.71497e+02
1.29808e-02,1.61271e+02
1.33414e-02,1.51651e+02
1.37121e-02,1.42603e+02
1.40931e-02,1.34092e+02
1.44846e-02,1.26086e+02
1.48870e-02,1.18556e+02
1.53006e-02,1.11474e+02
1.57257e-02,1.04812e+02
1.61626e-02,9.85463e+01
1.66117e-02,9.26529e+01
1.70732e-02,8.71099e+01
1.75475e-02,8.18965e+01
1.80350e-02,7.69931e+01
1.85361e-02,7.23813e+01
1.90511e-02,6.80439e+01
1.95804e-02,6.39646e+01
2.01244e-02,6.01281e+01
2.06835e-02,5.65200e+01
2.12581e-02,5.31266e+01
2.18487e-02,4.99354e+01
2.24557e-02,4.69343e+01
2.30796e-02,4.41119e+01
2.37208e-02,4.14578e+01
2.43799e-02,3.89619e+01
2.50572e-02,3.66149e+01
2.57534e-02,3.44078e+01
2.64689e-02,3.23324e+01
2.72042e-02,3.03809e+01
2.79600e-02,2.85459e+01
2.87369e-02,2.68205e+01
2.95352e-02,2.51982e+01
3.03558e-02,2.36729e+01
3.11992e-02,2.22387e+01
3.20660e-02,2.08903e+01
3.29569e-02,1.96226e+01
3.38725e-02,1.84308e+01
3.48136e-02,1.73104e+01
3.57808e-02,1.62571e+01
3.67749e-02,1.52670e+01
3.77966e-02,1.43362e+01
3.88467e-02,1.34613e+01
3.99259e-02,1.26389e+01
4.10352e-02,1.18659e+01
4.21752e-02,1.11393e+01
4.33470e-02,1.04565e+01
4.45513e-02,9.81474e+00
4.57890e-02,9.21164e+00
4.70612e-02,8.64487e+00
4.83687e-02,8.11228e+00
4.97125e-02,7.61183e+00
5.10936e-02,7.14160e+00
5.25131e-02,6.69978e+00
5.39721e-02,6.28469e+00
5.54716e-02,5.89472e+00
