m1=3891.650, m2=24.815, gsp=2.214, rhosp=85.632
fGW[Hz],dPh[rad]
4.83734e-03,4.78375e+02
4.97182e-03,4.50391e+02
5.11003e-03,4.24041e+02
5.25209e-03,3.99230e+02
5.39810e-03,3.75867e+02
5.54817e-03,3.53868e+02
5.70240e-03,3.33153e+02
5.86093e-03,3.13648e+02
6.02386e-03,2.95283e+02
6.19132e-03,2.77989e+02
6.36344e-03,2.61706e+02
6.54035e-03,2.46374e+02
6.72217e-03,2.31937e+02
6.90904e-03,2.18344e+02
7.10111e-03,2.05545e+02
7.29852e-03,1.93494e+02
7.50142e-03,1.82147e+02
7.70996e-03,1.71463e+02
7.92429e-03,1.61403e+02
8.14459e-03,1.51931e+02
8.37100e-03,1.43013e+02
8.60372e-03,1.34617e+02
8.84290e-03,1.26711e+02
9.08873e-03,1.19267e+02
9.34140e-03,1.12259e+02
9.60108e-03,1.05661e+02
9.86799e-03,9.94484e+01
1.01423e-02,9.35994e+01
1.04243e-02,8.80926e+01
1.07141e-02,8.29080e+01
1.10119e-02,7.80269e+01
1.13180e-02,7.34314e+01
1.16327e-02,6.91050e+01
1.19561e-02,6.50320e+01
1.22885e-02,6.11974e+01
1.26301e-02,5.75874e+01
1.29812e-02,5.41890e+01
1.33421e-02,5.09896e+01
1.37130e-02,4.79777e+01
1.40942e-02,4.51424e+01
1.44860e-02,4.24734e+01
1.48887e-02,3.99608e+01
1.53026e-02,3.75957e+01
1.57280e-02,3.53692e+01
1.61653e-02,3.32735e+01
1.66146e-02,3.13008e+01
1.70765e-02,2.94439e+01
1.75513e-02,2.76961e+01
1.80392e-02,2.60509e+01
1.85407e-02,2.45024e+01
1.90561e-02,2.30450e+01
1.95859e-02,2.16733e+01
2.01303e-02,2.03823e+01
2.06900e-02,1.91672e+01
2.12651e-02,1.80237e+01
2.18563e-02,1.69475e+01
2.24639e-02,1.59347e+01
2.30884e-02,1.49816e+01
2.37302e-02,1.40847e+01
2.43899e-02,1.32408e+01
2.50680e-02,1.24466e+01
2.57649e-02,1.16993e+01
2.64811e-02,1.09962e+01
2.72173e-02,1.03346e+01
2.79739e-02,9.71218e+00
2.87516e-02,9.12657e+00
2.95509e-02,8.57563e+00
3.03724e-02,8.05733e+00
3.12168e-02,7.56976e+00
3.20846e-02,7.11110e+00
3.29765e-02,6.67968e+00
3.38933e-02,6.27388e+00
3.48355e-02,5.89220e+00
3.58039e-02,5.53323e+00
3.67992e-02,5.19564e+00
3.78223e-02,4.87815e+00
3.88737e-02,4.57960e+00
3.99544e-02,4.29888e+00
4.10651e-02,4.03492e+00
4.22067e-02,3.78674e+00
4.33801e-02,3.55343e+00
4.45860e-02,3.33409e+00
4.58255e-02,3.12791e+00
4.70995e-02,2.93411e+00
4.84088e-02,2.75195e+00
4.97546e-02,2.58077e+00
5.11377e-02,2.41990e+00
5.25594e-02,2.26873e+00
5.40205e-02,2.12670e+00
5.55223e-02,1.99326e+00
5.70658e-02,1.86790e+00
5.86522e-02,1.75015e+00
6.02827e-02,1.63955e+00
6.19586e-02,1.53569e+00
6.36810e-02,1.43815e+00
6.54513e-02,1.34657e+00
6.72709e-02,1.26059e+00
6.91410e-02,1.17988e+00
7.10631e-02,1.10412e+00
7.30386e-02,1.03303e+00
7.50691e-02,9.66310e-01
7.71560e-02,9.03713e-01
7.93009e-02,8.44990e-01
8.15055e-02,7.89908e-01
8.37713e-02,7.38250e-01
8.61001e-02,6.89810e-01
8.84937e-02,6.44396e-01
9.09538e-02,6.01824e-01
9.34823e-02,5.61924e-01
9.60811e-02,5.24535e-01
9.87521e-02,4.89505e-01
1.01497e-01,4.56692e-01
1.04319e-01,4.25961e-01
1.07219e-01,3.97186e-01
1.10200e-01,3.70248e-01
1.13263e-01,3.45035e-01
1.16412e-01,3.21443e-01
1.19648e-01,2.99371e-01
1.22974e-01,2.78727e-01
