m1=8823.178, m2=4.192, gsp=2.105, rhosp=366.091
fGW[Hz],dPh[rad]
7.67394e-03,1.09864e+03
7.83659e-03,1.04396e+03
8.00269e-03,9.91905e+02
8.17230e-03,9.42362e+02
8.34551e-03,8.95210e+02
8.52240e-03,8.50337e+02
8.70303e-03,8.07634e+02
8.88749e-03,7.66999e+02
9.07586e-03,7.28334e+02
9.26822e-03,6.91547e+02
9.46466e-03,6.56548e+02
9.66526e-03,6.23253e+02
9.87012e-03,5.91581e+02
1.00793e-02,5.61454e+02
1.02929e-02,5.32801e+02
1.05111e-02,5.05551e+02
1.07339e-02,4.79636e+02
1.09614e-02,4.54995e+02
1.11937e-02,4.31565e+02
1.14310e-02,4.09290e+02
1.16732e-02,3.88114e+02
1.19207e-02,3.67985e+02
1.21733e-02,3.48853e+02
1.24313e-02,3.30670e+02
1.26948e-02,3.13391e+02
1.29639e-02,2.96972e+02
1.32386e-02,2.81373e+02
1.35192e-02,2.66553e+02
1.38058e-02,2.52476e+02
1.40984e-02,2.39105e+02
1.43972e-02,2.26408e+02
1.47023e-02,2.14350e+02
1.50140e-02,2.02902e+02
1.53322e-02,1.92033e+02
1.56571e-02,1.81716e+02
1.59890e-02,1.71924e+02
1.63279e-02,1.62632e+02
1.66739e-02,1.53814e+02
1.70273e-02,1.45449e+02
1.73882e-02,1.37514e+02
1.77568e-02,1.29987e+02
1.81331e-02,1.22850e+02
1.85175e-02,1.16082e+02
1.89099e-02,1.09665e+02
1.93107e-02,1.03584e+02
1.97200e-02,9.78195e+01
2.01380e-02,9.23575e+01
2.05648e-02,8.71826e+01
2.10007e-02,8.22805e+01
2.14458e-02,7.76378e+01
2.19003e-02,7.32414e+01
2.23645e-02,6.90790e+01
2.28385e-02,6.51390e+01
2.33226e-02,6.14101e+01
2.38169e-02,5.78816e+01
2.43217e-02,5.45436e+01
2.48372e-02,5.13863e+01
2.53636e-02,4.84005e+01
2.59012e-02,4.55776e+01
2.64502e-02,4.29091e+01
2.70108e-02,4.03873e+01
2.75833e-02,3.80045e+01
2.81679e-02,3.57535e+01
2.87649e-02,3.36277e+01
2.93746e-02,3.16204e+01
2.99972e-02,2.97255e+01
3.06330e-02,2.79372e+01
3.12822e-02,2.62498e+01
3.19453e-02,2.46580e+01
3.26223e-02,2.31569e+01
3.33138e-02,2.17415e+01
3.40198e-02,2.04073e+01
3.47409e-02,1.91500e+01
3.54772e-02,1.79654e+01
3.62292e-02,1.68497e+01
3.69970e-02,1.57992e+01
3.77812e-02,1.48102e+01
3.85819e-02,1.38794e+01
3.93997e-02,1.30036e+01
4.02348e-02,1.21799e+01
4.10875e-02,1.14053e+01
4.19584e-02,1.06771e+01
4.28477e-02,9.99267e+00
4.37558e-02,9.34964e+00
4.46832e-02,8.74565e+00
4.56303e-02,8.17850e+00
4.65974e-02,7.64607e+00
4.75851e-02,7.14641e+00
4.85936e-02,6.67761e+00
4.96236e-02,6.23792e+00
5.06753e-02,5.82563e+00
5.17494e-02,5.43916e+00
5.28462e-02,5.07699e+00
5.39663e-02,4.73770e+00
5.51101e-02,4.41994e+00
5.62781e-02,4.12242e+00
5.74709e-02,3.84393e+00
5.86890e-02,3.58335e+00
5.99329e-02,3.33958e+00
6.12032e-02,3.11161e+00
6.25004e-02,2.89848e+00
6.38251e-02,2.69928e+00
6.51779e-02,2.51315e+00
6.65593e-02,2.33928e+00
6.79700e-02,2.17692e+00
6.94107e-02,2.02534e+00
7.08818e-02,1.88387e+00
7.23841e-02,1.75187e+00
7.39183e-02,1.62875e+00
7.54850e-02,1.51393e+00
7.70849e-02,1.40688e+00
7.87187e-02,1.30712e+00
8.03872e-02,1.21416e+00
8.20910e-02,1.12756e+00
8.38309e-02,1.04691e+00
8.56077e-02,9.71829e-01
8.74221e-02,9.01940e-01
8.92750e-02,8.36903e-01
9.11672e-02,7.76397e-01
9.30995e-02,7.20120e-01
9.50727e-02,6.67789e-01
9.70878e-02,6.19139e-01
9.91455e-02,5.73922e-01
1.01247e-01,5.31905e-01
1.03393e-01,4.92870e-01
1.05584e-01,4.56615e-01
1.07822e-01,4.22948e-01
1.10107e-01,3.91692e-01
1.12441e-01,3.62680e-01
1.14824e-01,3.35757e-01
1.17258e-01,3.10777e-01
1.19743e-01,2.87605e-01
1.22281e-01,2.66115e-01
1.24873e-01,2.46187e-01
1.27520e-01,2.27712e-01
1.30222e-01,2.10588e-01
1.32982e-01,1.94718e-01
1.35801e-01,1.80012e-01
1.38679e-01,1.66389e-01
1.41619e-01,1.53771e-01
1.44620e-01,1.42084e-01
1.47685e-01,1.31263e-01
1.50816e-01,1.21245e-01
1.54012e-01,1.11972e-01
1.57276e-01,1.03389e-01
1.60610e-01,9.54458e-02
1.64014e-01,8.80967e-02
1.67490e-01,8.12979e-02
1.71040e-01,7.50089e-02
1.74665e-01,6.91923e-02
1.78367e-01,6.38134e-02
1.82148e-01,5.88398e-02
1.86008e-01,5.42416e-02
1.89951e-01,4.99909e-02
1.93977e-01,4.60619e-02
1.98088e-01,4.24308e-02
2.02287e-01,3.90752e-02
2.06574e-01,3.59746e-02
2.10952e-01,3.31100e-02
2.15423e-01,3.04636e-02
2.19989e-01,2.80191e-02
2.24652e-01,2.57613e-02
2.29413e-01,2.36761e-02
2.34276e-01,2.17505e-02
2.39241e-01,1.99724e-02
2.44312e-01,1.83307e-02
2.49490e-01,1.68150e-02
2.54778e-01,1.54159e-02
2.60178e-01,1.41243e-02
2.65693e-01,1.29322e-02
2.71324e-01,1.18320e-02
2.77075e-01,1.08166e-02
2.82947e-01,9.87959e-03
2.88944e-01,9.01497e-03
2.95068e-01,8.21720e-03
3.01322e-01,7.48116e-03
3.07709e-01,6.80211e-03
3.14231e-01,6.17567e-03
3.20891e-01,5.59781e-03
3.27692e-01,5.06478e-03
3.34637e-01,4.57314e-03
3.41730e-01,4.11969e-03
3.48973e-01,3.70149e-03
3.56369e-01,3.31582e-03
3.63923e-01,2.96016e-03
3.71636e-01,2.63220e-03
3.79513e-01,2.32978e-03
3.87556e-01,2.05094e-03
3.95771e-01,1.79385e-03
4.04159e-01,1.55682e-03
4.12725e-01,1.33828e-03
4.21473e-01,1.13682e-03
4.30406e-01,9.51093e-04
4.39528e-01,7.79885e-04
4.48844e-01,6.22065e-04
4.58357e-01,4.76590e-04
4.68072e-01,3.42499e-04
4.77993e-01,2.18906e-04
4.88124e-01,1.04991e-04
4.98470e-01,0.00000e+00
