m1=1559.570, m2=31.726, gsp=2.366, rhosp=195.533
fGW[Hz],dPh[rad]
5.55418e-03,3.37131e+03
5.73109e-03,3.15743e+03
5.91364e-03,2.95711e+03
6.10201e-03,2.76950e+03
6.29637e-03,2.59378e+03
6.49693e-03,2.42921e+03
6.70387e-03,2.27508e+03
6.91741e-03,2.13072e+03
7.13774e-03,1.99551e+03
7.36510e-03,1.86888e+03
7.59970e-03,1.75029e+03
7.84177e-03,1.63921e+03
8.09155e-03,1.53518e+03
8.34928e-03,1.43774e+03
8.61523e-03,1.34649e+03
8.88964e-03,1.26102e+03
9.17280e-03,1.18098e+03
9.46498e-03,1.10601e+03
9.76646e-03,1.03580e+03
1.00775e-02,9.70039e+02
1.03985e-02,9.08451e+02
1.07298e-02,8.50769e+02
1.10715e-02,7.96747e+02
1.14242e-02,7.46151e+02
1.17881e-02,6.98765e+02
1.21636e-02,6.54385e+02
1.25510e-02,6.12821e+02
1.29508e-02,5.73893e+02
1.33633e-02,5.37436e+02
1.37890e-02,5.03291e+02
1.42282e-02,4.71312e+02
1.46814e-02,4.41363e+02
1.51490e-02,4.13314e+02
1.56315e-02,3.87045e+02
1.61294e-02,3.62442e+02
1.66432e-02,3.39401e+02
1.71733e-02,3.17822e+02
1.77204e-02,2.97613e+02
1.82848e-02,2.78686e+02
1.88672e-02,2.60960e+02
1.94682e-02,2.44360e+02
2.00883e-02,2.28813e+02
2.07281e-02,2.14253e+02
2.13884e-02,2.00617e+02
2.20697e-02,1.87848e+02
2.27726e-02,1.75888e+02
2.34980e-02,1.64688e+02
2.42465e-02,1.54200e+02
2.50188e-02,1.44377e+02
2.58157e-02,1.35178e+02
2.66380e-02,1.26564e+02
2.74865e-02,1.18496e+02
2.83620e-02,1.10941e+02
2.92654e-02,1.03866e+02
3.01976e-02,9.72407e+01
3.11594e-02,9.10362e+01
3.21520e-02,8.52259e+01
3.31761e-02,7.97849e+01
3.42328e-02,7.46898e+01
3.53232e-02,6.99185e+01
3.64484e-02,6.54505e+01
3.76093e-02,6.12667e+01
3.88073e-02,5.73489e+01
4.00434e-02,5.36803e+01
4.13189e-02,5.02450e+01
4.26350e-02,4.70283e+01
4.39930e-02,4.40162e+01
4.53943e-02,4.11959e+01
4.68402e-02,3.85551e+01
4.83322e-02,3.60824e+01
4.98717e-02,3.37671e+01
5.14602e-02,3.15993e+01
5.30994e-02,2.95696e+01
5.47907e-02,2.76692e+01
5.65360e-02,2.58899e+01
5.83368e-02,2.42241e+01
6.01949e-02,2.26645e+01
6.21123e-02,2.12043e+01
6.40907e-02,1.98373e+01
6.61322e-02,1.85575e+01
6.82387e-02,1.73595e+01
7.04122e-02,1.62379e+01
7.26551e-02,1.51880e+01
7.49693e-02,1.42051e+01
7.73573e-02,1.32851e+01
7.98213e-02,1.24239e+01
8.23638e-02,1.16178e+01
8.49873e-02,1.08633e+01
8.76944e-02,1.01571e+01
9.04876e-02,9.49618e+00
9.33699e-02,8.87757e+00
9.63440e-02,8.29863e+00
9.94128e-02,7.75682e+00
1.02579e-01,7.24980e+00
1.05847e-01,6.77533e+00
1.09218e-01,6.33135e+00
1.12697e-01,5.91592e+00
1.16287e-01,5.52722e+00
1.19991e-01,5.16355e+00
1.23813e-01,4.82330e+00
1.27757e-01,4.50500e+00
1.31826e-01,4.20723e+00
1.36025e-01,3.92870e+00
1.40358e-01,3.66816e+00
1.44828e-01,3.42448e+00
1.49442e-01,3.19658e+00
1.54202e-01,2.98345e+00
1.59113e-01,2.78414e+00
1.64182e-01,2.59778e+00
1.69411e-01,2.42354e+00
1.74807e-01,2.26063e+00
1.80375e-01,2.10834e+00
1.86121e-01,1.96599e+00
1.92049e-01,1.83294e+00
1.98166e-01,1.70859e+00
2.04479e-01,1.59239e+00
2.10992e-01,1.48381e+00
2.17712e-01,1.38236e+00
2.24647e-01,1.28760e+00
2.31803e-01,1.19907e+00
2.39186e-01,1.11640e+00
2.46805e-01,1.03919e+00
2.54666e-01,9.67099e-01
2.62778e-01,8.99795e-01
2.71148e-01,8.36970e-01
