m1=37987.700, m2=8.532, gsp=2.308, rhosp=14.653
fGW[Hz],dPh[rad]
4.08102e-03,1.88155e+04
4.15020e-03,1.79696e+04
4.22056e-03,1.71591e+04
4.29210e-03,1.63826e+04
4.36486e-03,1.56389e+04
4.43886e-03,1.49266e+04
4.51411e-03,1.42444e+04
4.59063e-03,1.35914e+04
4.66845e-03,1.29661e+04
4.74759e-03,1.23677e+04
4.82807e-03,1.17950e+04
4.90992e-03,1.12470e+04
4.99315e-03,1.07227e+04
5.07780e-03,1.02211e+04
5.16387e-03,9.74143e+03
5.25141e-03,9.28272e+03
5.34044e-03,8.84414e+03
5.43097e-03,8.42487e+03
5.52303e-03,8.02413e+03
5.61666e-03,7.64117e+03
5.71187e-03,7.27526e+03
5.80870e-03,6.92570e+03
5.90717e-03,6.59182e+03
6.00731e-03,6.27296e+03
6.10915e-03,5.96851e+03
6.21271e-03,5.67786e+03
6.31803e-03,5.40045e+03
6.42513e-03,5.13571e+03
6.53405e-03,4.88310e+03
6.64482e-03,4.64213e+03
6.75746e-03,4.41229e+03
6.87201e-03,4.19311e+03
6.98851e-03,3.98413e+03
7.10698e-03,3.78491e+03
7.22746e-03,3.59505e+03
7.34998e-03,3.41412e+03
7.47457e-03,3.24174e+03
7.60128e-03,3.07754e+03
7.73014e-03,2.92116e+03
7.86118e-03,2.77225e+03
7.99445e-03,2.63049e+03
8.12997e-03,2.49555e+03
8.26779e-03,2.36714e+03
8.40795e-03,2.24496e+03
8.55048e-03,2.12873e+03
8.69543e-03,2.01818e+03
8.84283e-03,1.91305e+03
8.99274e-03,1.81310e+03
9.14518e-03,1.71809e+03
9.30021e-03,1.62779e+03
9.45787e-03,1.54199e+03
9.61820e-03,1.46048e+03
9.78125e-03,1.38305e+03
9.94706e-03,1.30952e+03
1.01157e-02,1.23971e+03
1.02872e-02,1.17343e+03
1.04616e-02,1.11052e+03
1.06389e-02,1.05082e+03
1.08193e-02,9.94180e+02
1.10027e-02,9.40449e+02
1.11892e-02,8.89488e+02
1.13789e-02,8.41164e+02
1.15718e-02,7.95347e+02
1.17679e-02,7.51915e+02
1.19674e-02,7.10753e+02
1.21703e-02,6.71747e+02
1.23766e-02,6.34792e+02
1.25864e-02,5.99786e+02
1.27998e-02,5.66631e+02
1.30168e-02,5.35236e+02
1.32374e-02,5.05512e+02
1.34618e-02,4.77375e+02
1.36900e-02,4.50743e+02
1.39221e-02,4.25542e+02
1.41581e-02,4.01698e+02
1.43981e-02,3.79142e+02
1.46422e-02,3.57807e+02
1.48904e-02,3.37631e+02
1.51428e-02,3.18554e+02
1.53995e-02,3.00518e+02
1.56606e-02,2.83469e+02
1.59261e-02,2.67356e+02
1.61960e-02,2.52130e+02
1.64706e-02,2.37743e+02
1.67498e-02,2.24153e+02
1.70338e-02,2.11315e+02
1.73225e-02,1.99191e+02
1.76162e-02,1.87743e+02
1.79148e-02,1.76933e+02
1.82185e-02,1.66729e+02
1.85273e-02,1.57096e+02
1.88414e-02,1.48005e+02
1.91608e-02,1.39426e+02
1.94856e-02,1.31332e+02
1.98159e-02,1.23695e+02
2.01519e-02,1.16491e+02
2.04935e-02,1.09696e+02
2.08409e-02,1.03288e+02
2.11942e-02,9.72455e+01
2.15535e-02,9.15479e+01
2.19189e-02,8.61764e+01
2.22904e-02,8.11129e+01
2.26683e-02,7.63402e+01
2.30526e-02,7.18421e+01
2.34434e-02,6.76033e+01
2.38408e-02,6.36091e+01
2.42449e-02,5.98460e+01
2.46559e-02,5.63008e+01
2.50739e-02,5.29612e+01
2.54989e-02,4.98157e+01
2.59312e-02,4.68533e+01
2.63708e-02,4.40634e+01
2.68178e-02,4.14364e+01
2.72725e-02,3.89629e+01
2.77348e-02,3.66341e+01
2.82049e-02,3.44418e+01
2.86831e-02,3.23782e+01
2.91693e-02,3.04358e+01
2.96638e-02,2.86076e+01
3.01667e-02,2.68872e+01
3.06780e-02,2.52682e+01
3.11981e-02,2.37448e+01
3.17270e-02,2.23114e+01
3.22648e-02,2.09629e+01
3.28118e-02,1.96942e+01
3.33680e-02,1.85008e+01
3.39336e-02,1.73782e+01
3.45089e-02,1.63224e+01
3.50939e-02,1.53294e+01
3.56888e-02,1.43954e+01
3.62938e-02,1.35172e+01
3.69091e-02,1.26913e+01
3.75347e-02,1.19148e+01
3.81710e-02,1.11847e+01
3.88181e-02,1.04982e+01
3.94762e-02,9.85286e+00
4.01454e-02,9.24617e+00
4.08259e-02,8.67586e+00
4.15180e-02,8.13978e+00
4.22218e-02,7.63589e+00
4.29376e-02,7.16228e+00
4.36654e-02,6.71716e+00
4.44057e-02,6.29884e+00
4.51584e-02,5.90570e+00
4.59240e-02,5.53627e+00
4.67025e-02,5.18911e+00
4.74942e-02,4.86291e+00
4.82993e-02,4.55640e+00
4.91181e-02,4.26841e+00
4.99507e-02,3.99784e+00
5.07975e-02,3.74363e+00
5.16586e-02,3.50481e+00
5.25343e-02,3.28046e+00
5.34249e-02,3.06970e+00
5.43306e-02,2.87171e+00
5.52516e-02,2.68574e+00
5.61882e-02,2.51105e+00
