m1=11972.063, m2=57.792, gsp=2.348, rhosp=398.475
fGW[Hz],dPh[rad]
2.65968e-03,7.14536e+03
2.72640e-03,6.77977e+03
2.79479e-03,6.43279e+03
2.86490e-03,6.10346e+03
2.93677e-03,5.79090e+03
3.01043e-03,5.49425e+03
3.08595e-03,5.21270e+03
3.16336e-03,4.94549e+03
3.24271e-03,4.69188e+03
3.32406e-03,4.45119e+03
3.40744e-03,4.22276e+03
3.49292e-03,4.00597e+03
3.58054e-03,3.80023e+03
3.67035e-03,3.60497e+03
3.76242e-03,3.41967e+03
3.85680e-03,3.24381e+03
3.95355e-03,3.07692e+03
4.05273e-03,2.91854e+03
4.15439e-03,2.76824e+03
4.25860e-03,2.62561e+03
4.36543e-03,2.49026e+03
4.47493e-03,2.36181e+03
4.58719e-03,2.23993e+03
4.70226e-03,2.12427e+03
4.82021e-03,2.01452e+03
4.94113e-03,1.91037e+03
5.06507e-03,1.81155e+03
5.19213e-03,1.71778e+03
5.32237e-03,1.62880e+03
5.45588e-03,1.54438e+03
5.59275e-03,1.46428e+03
5.73304e-03,1.38828e+03
5.87685e-03,1.31616e+03
6.02427e-03,1.24775e+03
6.17539e-03,1.18283e+03
6.33030e-03,1.12125e+03
6.48909e-03,1.06282e+03
6.65187e-03,1.00739e+03
6.81873e-03,9.54803e+02
6.98978e-03,9.04917e+02
7.16512e-03,8.57593e+02
7.34485e-03,8.12701e+02
7.52910e-03,7.70116e+02
7.71797e-03,7.29722e+02
7.91157e-03,6.91406e+02
8.11003e-03,6.55064e+02
8.31347e-03,6.20593e+02
8.52201e-03,5.87899e+02
8.73579e-03,5.56891e+02
8.95492e-03,5.27484e+02
9.17956e-03,4.99595e+02
9.40983e-03,4.73146e+02
9.64587e-03,4.48066e+02
9.88784e-03,4.24283e+02
1.01359e-02,4.01731e+02
1.03901e-02,3.80348e+02
1.06508e-02,3.60073e+02
1.09179e-02,3.40851e+02
1.11918e-02,3.22627e+02
1.14726e-02,3.05350e+02
1.17603e-02,2.88972e+02
1.20554e-02,2.73447e+02
1.23578e-02,2.58731e+02
1.26678e-02,2.44783e+02
1.29855e-02,2.31563e+02
1.33113e-02,2.19034e+02
1.36452e-02,2.07161e+02
1.39875e-02,1.95910e+02
1.43383e-02,1.85249e+02
1.46980e-02,1.75147e+02
1.50667e-02,1.65577e+02
1.54447e-02,1.56511e+02
1.58321e-02,1.47922e+02
1.62292e-02,1.39787e+02
1.66363e-02,1.32081e+02
1.70537e-02,1.24784e+02
1.74815e-02,1.17873e+02
1.79200e-02,1.11329e+02
1.83695e-02,1.05133e+02
1.88303e-02,9.92672e+01
1.93026e-02,9.37140e+01
1.97868e-02,8.84576e+01
2.02832e-02,8.34825e+01
2.07920e-02,7.87742e+01
2.13136e-02,7.43189e+01
2.18482e-02,7.01034e+01
2.23963e-02,6.61153e+01
2.29581e-02,6.23427e+01
2.35340e-02,5.87745e+01
2.41243e-02,5.53999e+01
2.47295e-02,5.22090e+01
2.53498e-02,4.91920e+01
2.59857e-02,4.63400e+01
2.66376e-02,4.36442e+01
2.73058e-02,4.10965e+01
2.79907e-02,3.86892e+01
2.86929e-02,3.64148e+01
2.94126e-02,3.42663e+01
3.01505e-02,3.22371e+01
3.09068e-02,3.03210e+01
3.16821e-02,2.85118e+01
3.24768e-02,2.68040e+01
3.32915e-02,2.51922e+01
3.41266e-02,2.36713e+01
3.49827e-02,2.22364e+01
3.58602e-02,2.08830e+01
3.67598e-02,1.96066e+01
3.76819e-02,1.84032e+01
3.86271e-02,1.72688e+01
3.95961e-02,1.61997e+01
4.05893e-02,1.51924e+01
4.16075e-02,1.42436e+01
4.26512e-02,1.33499e+01
4.37211e-02,1.25086e+01
4.48179e-02,1.17166e+01
4.59421e-02,1.09714e+01
4.70946e-02,1.02703e+01
4.82759e-02,9.61083e+00
4.94869e-02,8.99079e+00
5.07283e-02,8.40795e+00
5.20008e-02,7.86024e+00
5.33053e-02,7.34570e+00
5.46424e-02,6.86247e+00
5.60131e-02,6.40878e+00
5.74182e-02,5.98296e+00
5.88585e-02,5.58343e+00
6.03350e-02,5.20869e+00
6.18485e-02,4.85732e+00
6.34000e-02,4.52798e+00
6.49903e-02,4.21938e+00
6.66206e-02,3.93033e+00
6.82918e-02,3.65968e+00
7.00049e-02,3.40636e+00
7.17609e-02,3.16934e+00
7.35611e-02,2.94765e+00
7.54063e-02,2.74038e+00
7.72979e-02,2.54667e+00
7.92369e-02,2.36571e+00
8.12245e-02,2.19671e+00
8.32621e-02,2.03894e+00
8.53507e-02,1.89173e+00
8.74917e-02,1.75442e+00
8.96864e-02,1.62639e+00
9.19362e-02,1.50707e+00
