m1=3676.123, m2=26.683, gsp=2.030, rhosp=803.472
fGW[Hz],dPh[rad]
4.77552e-03,2.90126e+01
4.91001e-03,2.72031e+01
5.04829e-03,2.55063e+01
5.19046e-03,2.39152e+01
5.33664e-03,2.24231e+01
5.48694e-03,2.10241e+01
5.64147e-03,1.97121e+01
5.80035e-03,1.84819e+01
5.96370e-03,1.73283e+01
6.13165e-03,1.62466e+01
6.30434e-03,1.52323e+01
6.48189e-03,1.42812e+01
6.66444e-03,1.33894e+01
6.85213e-03,1.25531e+01
7.04510e-03,1.17689e+01
7.24351e-03,1.10337e+01
7.44751e-03,1.03442e+01
7.65725e-03,9.69771e+00
7.87290e-03,9.09153e+00
8.09463e-03,8.52313e+00
8.32259e-03,7.99017e+00
8.55698e-03,7.49044e+00
8.79797e-03,7.02187e+00
9.04575e-03,6.58252e+00
9.30050e-03,6.17057e+00
9.56243e-03,5.78432e+00
9.83174e-03,5.42216e+00
1.01086e-02,5.08259e+00
1.03933e-02,4.76421e+00
1.06860e-02,4.46570e+00
1.09870e-02,4.18581e+00
1.12964e-02,3.92339e+00
1.16145e-02,3.67736e+00
1.19416e-02,3.44668e+00
1.22779e-02,3.23040e+00
1.26237e-02,3.02764e+00
1.29792e-02,2.83753e+00
1.33448e-02,2.65930e+00
1.37206e-02,2.49221e+00
1.41070e-02,2.33555e+00
1.45043e-02,2.18869e+00
1.49128e-02,2.05101e+00
1.53328e-02,1.92193e+00
1.57646e-02,1.80093e+00
1.62086e-02,1.68750e+00
1.66650e-02,1.58116e+00
1.71344e-02,1.48147e+00
1.76169e-02,1.38802e+00
1.81131e-02,1.30043e+00
1.86232e-02,1.21832e+00
1.91477e-02,1.14135e+00
1.96869e-02,1.06920e+00
2.02414e-02,1.00157e+00
2.08114e-02,9.38187e-01
2.13975e-02,8.78775e-01
2.20001e-02,8.23089e-01
2.26197e-02,7.70897e-01
2.32568e-02,7.21981e-01
2.39117e-02,6.76136e-01
2.45852e-02,6.33170e-01
2.52776e-02,5.92904e-01
2.59895e-02,5.55169e-01
2.67214e-02,5.19807e-01
2.74739e-02,4.86670e-01
2.82477e-02,4.55617e-01
2.90432e-02,4.26521e-01
2.98612e-02,3.99257e-01
3.07021e-02,3.73711e-01
3.15668e-02,3.49776e-01
3.24558e-02,3.27351e-01
3.33699e-02,3.06342e-01
3.43096e-02,2.86660e-01
3.52759e-02,2.68222e-01
3.62694e-02,2.50949e-01
3.72908e-02,2.34770e-01
3.83410e-02,2.19615e-01
3.94208e-02,2.05420e-01
4.05310e-02,1.92126e-01
4.16725e-02,1.79675e-01
4.28461e-02,1.68015e-01
4.40528e-02,1.57095e-01
4.52934e-02,1.46871e-01
4.65690e-02,1.37297e-01
4.78806e-02,1.28333e-01
4.92290e-02,1.19941e-01
5.06154e-02,1.12085e-01
