m1=1019.362, m2=14.897, gsp=2.040, rhosp=1423.016
fGW[Hz],dPh[rad]
8.19601e-03,2.64928e+01
8.45849e-03,2.46340e+01
8.72937e-03,2.29056e+01
9.00893e-03,2.12985e+01
9.29745e-03,1.98040e+01
9.59520e-03,1.84144e+01
9.90249e-03,1.71223e+01
1.02196e-02,1.59207e+01
1.05469e-02,1.48035e+01
1.08847e-02,1.37646e+01
1.12333e-02,1.27986e+01
1.15930e-02,1.19004e+01
1.19643e-02,1.10652e+01
1.23474e-02,1.02885e+01
1.27429e-02,9.56636e+00
1.31510e-02,8.89485e+00
1.35721e-02,8.27046e+00
1.40068e-02,7.68986e+00
1.44554e-02,7.15000e+00
1.49183e-02,6.64801e+00
1.53961e-02,6.18124e+00
1.58891e-02,5.74722e+00
1.63980e-02,5.34364e+00
1.69231e-02,4.96839e+00
1.74651e-02,4.61946e+00
1.80244e-02,4.29501e+00
1.86017e-02,3.99333e+00
1.91974e-02,3.71282e+00
1.98122e-02,3.45199e+00
2.04467e-02,3.20947e+00
2.11015e-02,2.98396e+00
2.17773e-02,2.77428e+00
2.24747e-02,2.57932e+00
2.31944e-02,2.39804e+00
2.39373e-02,2.22948e+00
2.47039e-02,2.07276e+00
2.54950e-02,1.92703e+00
2.63115e-02,1.79153e+00
2.71541e-02,1.66555e+00
2.80237e-02,1.54841e+00
2.89212e-02,1.43950e+00
2.98474e-02,1.33823e+00
3.08033e-02,1.24407e+00
3.17898e-02,1.15652e+00
3.28079e-02,1.07512e+00
3.38585e-02,9.99441e-01
3.49429e-02,9.29075e-01
3.60619e-02,8.63651e-01
3.72168e-02,8.02822e-01
3.84087e-02,7.46267e-01
3.96387e-02,6.93685e-01
4.09082e-02,6.44797e-01
4.22183e-02,5.99345e-01
4.35703e-02,5.57087e-01
4.49657e-02,5.17799e-01
4.64057e-02,4.81272e-01
4.78919e-02,4.47313e-01
4.94257e-02,4.15742e-01
5.10085e-02,3.86391e-01
5.26421e-02,3.59104e-01
5.43280e-02,3.33735e-01
5.60678e-02,3.10152e-01
5.78634e-02,2.88227e-01
5.97165e-02,2.67846e-01
6.16290e-02,2.48898e-01
6.36027e-02,2.31285e-01
6.56395e-02,2.14911e-01
6.77417e-02,1.99690e-01
6.99111e-02,1.85541e-01
7.21501e-02,1.72389e-01
7.44607e-02,1.60163e-01
7.68453e-02,1.48799e-01
7.93063e-02,1.38236e-01
8.18461e-02,1.28418e-01
8.44673e-02,1.19292e-01
8.71724e-02,1.10810e-01
8.99641e-02,1.02926e-01
9.28452e-02,9.55985e-02
9.58186e-02,8.87885e-02
9.88872e-02,8.24594e-02
1.02054e-01,7.65774e-02
1.05322e-01,7.11111e-02
1.08695e-01,6.60312e-02
1.12176e-01,6.13106e-02
1.15769e-01,5.69239e-02
1.19476e-01,5.28477e-02
1.23303e-01,4.90601e-02
1.27252e-01,4.55409e-02
1.31327e-01,4.22710e-02
1.35533e-01,3.92330e-02
1.39873e-01,3.64105e-02
1.44353e-01,3.37883e-02
1.48975e-01,3.13523e-02
1.53746e-01,2.90894e-02
1.58670e-01,2.69875e-02
1.63752e-01,2.50350e-02
1.68996e-01,2.32216e-02
1.74408e-01,2.15373e-02
1.79994e-01,1.99731e-02
1.85758e-01,1.85205e-02
1.91707e-01,1.71716e-02
1.97846e-01,1.59191e-02
2.04182e-01,1.47561e-02
2.10721e-01,1.36764e-02
2.17470e-01,1.26740e-02
2.24434e-01,1.17436e-02
2.31622e-01,1.08799e-02
2.39040e-01,1.00782e-02
2.46695e-01,9.33428e-03
2.54596e-01,8.64389e-03
2.62749e-01,8.00327e-03
2.71164e-01,7.40889e-03
2.79848e-01,6.85747e-03
2.88810e-01,6.34596e-03
2.98059e-01,5.87152e-03
3.07605e-01,5.43151e-03
3.17456e-01,5.02348e-03
3.27622e-01,4.64515e-03
3.38115e-01,4.29441e-03
3.48943e-01,3.96929e-03
3.60118e-01,3.66795e-03
3.71651e-01,3.38869e-03
3.83553e-01,3.12995e-03
3.95836e-01,2.89024e-03
4.08513e-01,2.66820e-03
4.21596e-01,2.46257e-03
4.35098e-01,2.27216e-03
4.49032e-01,2.09589e-03
4.63412e-01,1.93272e-03
4.78253e-01,1.78173e-03
4.93569e-01,1.64202e-03
5.09376e-01,1.51278e-03
5.25689e-01,1.39326e-03
5.42524e-01,1.28275e-03
5.59899e-01,1.18059e-03
5.77830e-01,1.08618e-03
5.96335e-01,9.98944e-04
6.15433e-01,9.18368e-04
6.35142e-01,8.43961e-04
6.55483e-01,7.75271e-04
6.76475e-01,7.11877e-04
6.98139e-01,6.53389e-04
7.20497e-01,5.99444e-04
7.43572e-01,5.49706e-04
7.67385e-01,5.03863e-04
7.91960e-01,4.61624e-04
8.17323e-01,4.22720e-04
8.43498e-01,3.86902e-04
8.70511e-01,3.53937e-04
8.98390e-01,3.23610e-04
9.27161e-01,2.95722e-04
9.56854e-01,2.70087e-04
9.87497e-01,2.46534e-04
1.01912e+00,2.24904e-04
1.05176e+00,2.05048e-04
1.08544e+00,1.86830e-04
1.12020e+00,1.70122e-04
1.15608e+00,1.54808e-04
1.19310e+00,1.40778e-04
1.23131e+00,1.27932e-04
1.27075e+00,1.16175e-04
1.31144e+00,1.05421e-04
1.35344e+00,9.55905e-05
1.39679e+00,8.66089e-05
1.44152e+00,7.84077e-05
1.48768e+00,7.09236e-05
1.53533e+00,6.40979e-05
1.58450e+00,5.78765e-05
1.63524e+00,5.22094e-05
1.68761e+00,4.70504e-05
1.74166e+00,4.23570e-05
1.79743e+00,3.80899e-05
1.85500e+00,3.42128e-05
1.91440e+00,3.06924e-05
1.97571e+00,2.74979e-05
2.03899e+00,2.46011e-05
2.10428e+00,2.19761e-05
2.17167e+00,1.95987e-05
2.24122e+00,1.74472e-05
2.31300e+00,1.55013e-05
2.38707e+00,1.37426e-05
2.46352e+00,1.21541e-05
2.54242e+00,1.07203e-05
2.62384e+00,9.42690e-06
2.70787e+00,8.26098e-06
2.79459e+00,7.21064e-06
2.88408e+00,6.26501e-06
2.97645e+00,5.41421e-06
3.07177e+00,4.64919e-06
3.17014e+00,3.96173e-06
3.27167e+00,3.34434e-06
3.37644e+00,2.79022e-06
3.48458e+00,2.29317e-06
3.59617e+00,1.84757e-06
3.71134e+00,1.44832e-06
3.83020e+00,1.09080e-06
3.95286e+00,7.70815e-07
4.07945e+00,4.84585e-07
4.21010e+00,2.28679e-07
4.34493e+00,0.00000e+00
