m1=516582.819, m2=26.129, gsp=2.218, rhosp=155.281
fGW[Hz],dPh[rad]
1.39672e-03,1.04275e+03
1.40946e-03,1.00774e+03
1.42232e-03,9.73898e+02
1.43529e-03,9.41178e+02
1.44839e-03,9.09545e+02
1.46160e-03,8.78963e+02
1.47494e-03,8.49398e+02
1.48840e-03,8.20817e+02
1.50197e-03,7.93188e+02
1.51568e-03,7.66478e+02
1.52951e-03,7.40659e+02
1.54346e-03,7.15700e+02
1.55754e-03,6.91573e+02
1.57175e-03,6.68251e+02
1.58609e-03,6.45708e+02
1.60056e-03,6.23917e+02
1.61517e-03,6.02855e+02
1.62990e-03,5.82496e+02
1.64477e-03,5.62818e+02
1.65978e-03,5.43798e+02
1.67492e-03,5.25414e+02
1.69020e-03,5.07646e+02
1.70562e-03,4.90472e+02
1.72119e-03,4.73874e+02
1.73689e-03,4.57833e+02
1.75274e-03,4.42329e+02
1.76873e-03,4.27344e+02
1.78486e-03,4.12863e+02
1.80115e-03,3.98868e+02
1.81758e-03,3.85342e+02
1.83416e-03,3.72271e+02
1.85090e-03,3.59639e+02
1.86778e-03,3.47431e+02
1.88483e-03,3.35634e+02
1.90202e-03,3.24233e+02
1.91938e-03,3.13216e+02
1.93689e-03,3.02570e+02
1.95456e-03,2.92282e+02
1.97239e-03,2.82341e+02
1.99039e-03,2.72734e+02
2.00854e-03,2.63451e+02
2.02687e-03,2.54481e+02
2.04536e-03,2.45814e+02
2.06402e-03,2.37438e+02
2.08285e-03,2.29346e+02
2.10186e-03,2.21526e+02
2.12103e-03,2.13970e+02
2.14039e-03,2.06669e+02
2.15991e-03,1.99615e+02
2.17962e-03,1.92799e+02
2.19951e-03,1.86214e+02
2.21957e-03,1.79851e+02
2.23982e-03,1.73703e+02
2.26026e-03,1.67763e+02
2.28088e-03,1.62024e+02
2.30169e-03,1.56479e+02
2.32269e-03,1.51122e+02
2.34388e-03,1.45946e+02
2.36526e-03,1.40945e+02
2.38684e-03,1.36113e+02
2.40862e-03,1.31446e+02
2.43060e-03,1.26936e+02
2.45277e-03,1.22579e+02
2.47515e-03,1.18370e+02
2.49773e-03,1.14304e+02
2.52052e-03,1.10375e+02
2.54352e-03,1.06580e+02
2.56672e-03,1.02913e+02
2.59014e-03,9.93713e+01
2.61377e-03,9.59493e+01
2.63762e-03,9.26435e+01
2.66168e-03,8.94500e+01
2.68597e-03,8.63649e+01
2.71047e-03,8.33846e+01
2.73520e-03,8.05055e+01
2.76015e-03,7.77242e+01
2.78534e-03,7.50375e+01
2.81075e-03,7.24420e+01
2.83639e-03,6.99348e+01
2.86227e-03,6.75129e+01
2.88839e-03,6.51733e+01
2.91474e-03,6.29133e+01
2.94133e-03,6.07301e+01
2.96817e-03,5.86213e+01
2.99525e-03,5.65842e+01
3.02257e-03,5.46164e+01
3.05015e-03,5.27156e+01
3.07798e-03,5.08795e+01
3.10606e-03,4.91060e+01
3.13440e-03,4.73928e+01
3.16300e-03,4.57380e+01
3.19185e-03,4.41396e+01
3.22097e-03,4.25956e+01
3.25036e-03,4.11042e+01
3.28002e-03,3.96637e+01
3.30994e-03,3.82723e+01
3.34014e-03,3.69283e+01
3.37061e-03,3.56301e+01
3.40137e-03,3.43762e+01
3.43240e-03,3.31650e+01
3.46371e-03,3.19952e+01
3.49531e-03,3.08652e+01
3.52720e-03,2.97738e+01
3.55939e-03,2.87197e+01
3.59186e-03,2.77015e+01
3.62463e-03,2.67181e+01
3.65770e-03,2.57682e+01
3.69107e-03,2.48508e+01
3.72475e-03,2.39647e+01
3.75873e-03,2.31088e+01
3.79302e-03,2.22822e+01
3.82763e-03,2.14838e+01
3.86255e-03,2.07126e+01
3.89779e-03,1.99678e+01
3.93335e-03,1.92485e+01
3.96924e-03,1.85537e+01
4.00545e-03,1.78827e+01
4.04199e-03,1.72346e+01
4.07887e-03,1.66086e+01
4.11609e-03,1.60041e+01
4.15364e-03,1.54202e+01
4.19154e-03,1.48563e+01
4.22978e-03,1.43116e+01
4.26837e-03,1.37856e+01
4.30731e-03,1.32776e+01
4.34661e-03,1.27869e+01
4.38626e-03,1.23130e+01
4.42628e-03,1.18553e+01
4.46667e-03,1.14133e+01
4.50742e-03,1.09864e+01
4.54854e-03,1.05742e+01
4.59004e-03,1.01760e+01
4.63192e-03,9.79141e+00
4.67418e-03,9.42002e+00
4.71682e-03,9.06134e+00
4.75986e-03,8.71493e+00
4.80328e-03,8.38038e+00
4.84711e-03,8.05728e+00
4.89133e-03,7.74524e+00
4.93596e-03,7.44389e+00
4.98099e-03,7.15285e+00
5.02643e-03,6.87178e+00
5.07229e-03,6.60034e+00
5.11857e-03,6.33819e+00
5.16527e-03,6.08502e+00
5.21239e-03,5.84052e+00
5.25995e-03,5.60440e+00
5.30794e-03,5.37637e+00
5.35637e-03,5.15614e+00
5.40524e-03,4.94347e+00
5.45455e-03,4.73807e+00
5.50432e-03,4.53972e+00
5.55453e-03,4.34816e+00
5.60521e-03,4.16317e+00
5.65635e-03,3.98452e+00
5.70796e-03,3.81199e+00
5.76003e-03,3.64537e+00
5.81259e-03,3.48447e+00
5.86562e-03,3.32908e+00
5.91913e-03,3.17902e+00
5.97314e-03,3.03410e+00
6.02763e-03,2.89415e+00
6.08262e-03,2.75900e+00
6.13812e-03,2.62848e+00
6.19412e-03,2.50243e+00
6.25063e-03,2.38071e+00
6.30766e-03,2.26317e+00
6.36521e-03,2.14965e+00
6.42328e-03,2.04003e+00
6.48189e-03,1.93417e+00
6.54102e-03,1.83194e+00
6.60070e-03,1.73321e+00
6.66092e-03,1.63787e+00
6.72169e-03,1.54580e+00
6.78302e-03,1.45689e+00
6.84491e-03,1.37103e+00
6.90736e-03,1.28812e+00
6.97037e-03,1.20805e+00
7.03397e-03,1.13073e+00
7.09814e-03,1.05606e+00
7.16290e-03,9.83952e-01
7.22826e-03,9.14320e-01
7.29420e-03,8.47076e-01
7.36075e-03,7.82141e-01
7.42791e-03,7.19434e-01
7.49568e-03,6.58879e-01
7.56406e-03,6.00402e-01
7.63308e-03,5.43932e-01
7.70272e-03,4.89401e-01
7.77299e-03,4.36741e-01
7.84391e-03,3.85889e-01
7.91547e-03,3.36782e-01
7.98769e-03,2.89361e-01
8.06057e-03,2.43568e-01
8.13411e-03,1.99347e-01
8.20832e-03,1.56645e-01
8.28321e-03,1.15408e-01
8.35878e-03,7.55870e-02
8.43504e-03,3.71333e-02
8.51200e-03,0.00000e+00
