m1=40595.898, m2=9.258, gsp=2.089, rhosp=231.631
fGW[Hz],dPh[rad]
3.89276e-03,6.78416e+02
3.95837e-03,6.46799e+02
4.02508e-03,6.16564e+02
4.09292e-03,5.87655e+02
4.16190e-03,5.60018e+02
4.23205e-03,5.33600e+02
4.30338e-03,5.08351e+02
4.37591e-03,4.84223e+02
4.44966e-03,4.61169e+02
4.52465e-03,4.39145e+02
4.60091e-03,4.18106e+02
4.67846e-03,3.98014e+02
4.75731e-03,3.78826e+02
4.83749e-03,3.60507e+02
4.91902e-03,3.43018e+02
5.00193e-03,3.26325e+02
5.08623e-03,3.10394e+02
5.17195e-03,2.95193e+02
5.25912e-03,2.80691e+02
5.34776e-03,2.66857e+02
5.43789e-03,2.53663e+02
5.52954e-03,2.41081e+02
5.62274e-03,2.29086e+02
5.71750e-03,2.17651e+02
5.81387e-03,2.06752e+02
5.91185e-03,1.96366e+02
6.01149e-03,1.86470e+02
6.11281e-03,1.77043e+02
6.21584e-03,1.68065e+02
6.32060e-03,1.59515e+02
6.42713e-03,1.51374e+02
6.53545e-03,1.43624e+02
6.64560e-03,1.36248e+02
6.75761e-03,1.29228e+02
6.87150e-03,1.22550e+02
6.98731e-03,1.16197e+02
7.10508e-03,1.10154e+02
7.22483e-03,1.04408e+02
7.34659e-03,9.89455e+01
7.47041e-03,9.37525e+01
7.59632e-03,8.88171e+01
7.72435e-03,8.41272e+01
7.85454e-03,7.96717e+01
7.98692e-03,7.54394e+01
8.12153e-03,7.14200e+01
8.25841e-03,6.76035e+01
8.39760e-03,6.39803e+01
8.53913e-03,6.05412e+01
8.68305e-03,5.72776e+01
8.82940e-03,5.41810e+01
8.97821e-03,5.12434e+01
9.12953e-03,4.84572e+01
9.28340e-03,4.58152e+01
9.43986e-03,4.33102e+01
9.59896e-03,4.09356e+01
9.76075e-03,3.86851e+01
9.92525e-03,3.65525e+01
1.00925e-02,3.45321e+01
1.02626e-02,3.26183e+01
1.04356e-02,3.08058e+01
1.06115e-02,2.90896e+01
1.07903e-02,2.74648e+01
1.09722e-02,2.59268e+01
1.11571e-02,2.44713e+01
1.13452e-02,2.30941e+01
1.15364e-02,2.17912e+01
1.17308e-02,2.05589e+01
1.19285e-02,1.93934e+01
1.21296e-02,1.82914e+01
1.23340e-02,1.72496e+01
1.25419e-02,1.62649e+01
1.27533e-02,1.53342e+01
1.29682e-02,1.44549e+01
1.31868e-02,1.36241e+01
1.34090e-02,1.28394e+01
1.36350e-02,1.20982e+01
1.38648e-02,1.13984e+01
1.40985e-02,1.07377e+01
1.43361e-02,1.01140e+01
1.45778e-02,9.52528e+00
1.48234e-02,8.96976e+00
1.50733e-02,8.44560e+00
1.53273e-02,7.95111e+00
1.55857e-02,7.48469e+00
1.58483e-02,7.04480e+00
1.61154e-02,6.62999e+00
1.63871e-02,6.23890e+00
1.66632e-02,5.87022e+00
1.69441e-02,5.52271e+00
1.72297e-02,5.19520e+00
1.75201e-02,4.88659e+00
1.78153e-02,4.59582e+00
1.81156e-02,4.32190e+00
1.84209e-02,4.06388e+00
1.87314e-02,3.82088e+00
1.90471e-02,3.59205e+00
1.93681e-02,3.37659e+00
1.96946e-02,3.17374e+00
2.00265e-02,2.98279e+00
2.03640e-02,2.80306e+00
2.07072e-02,2.63391e+00
2.10562e-02,2.47475e+00
2.14111e-02,2.32498e+00
2.17720e-02,2.18409e+00
2.21389e-02,2.05154e+00
2.25121e-02,1.92688e+00
2.28915e-02,1.80962e+00
2.32773e-02,1.69936e+00
2.36696e-02,1.59568e+00
2.40685e-02,1.49820e+00
2.44742e-02,1.40655e+00
2.48867e-02,1.32041e+00
2.53061e-02,1.23943e+00
2.57326e-02,1.16333e+00
2.61663e-02,1.09181e+00
2.66074e-02,1.02460e+00
2.70558e-02,9.61450e-01
2.75118e-02,9.02121e-01
2.79755e-02,8.46385e-01
2.84470e-02,7.94027e-01
2.89264e-02,7.44849e-01
2.94140e-02,6.98659e-01
2.99097e-02,6.55280e-01
3.04138e-02,6.14543e-01
3.09264e-02,5.76292e-01
3.14476e-02,5.40375e-01
3.19777e-02,5.06654e-01
3.25166e-02,4.74997e-01
3.30647e-02,4.45279e-01
3.36219e-02,4.17382e-01
3.41886e-02,3.91198e-01
3.47648e-02,3.66623e-01
3.53508e-02,3.43558e-01
3.59466e-02,3.21913e-01
3.65524e-02,3.01602e-01
3.71685e-02,2.82543e-01
3.77949e-02,2.64660e-01
3.84319e-02,2.47881e-01
3.90796e-02,2.32140e-01
3.97383e-02,2.17372e-01
