m1=8027.758, m2=16.557, gsp=2.256, rhosp=46.687
fGW[Hz],dPh[rad]
4.69523e-03,2.44175e+03
4.80890e-03,2.31653e+03
4.92532e-03,2.19768e+03
5.04456e-03,2.08486e+03
5.16669e-03,1.97777e+03
5.29177e-03,1.87613e+03
5.41988e-03,1.77965e+03
5.55109e-03,1.68807e+03
5.68548e-03,1.60115e+03
5.82312e-03,1.51865e+03
5.96409e-03,1.44035e+03
6.10848e-03,1.36604e+03
6.25636e-03,1.29551e+03
6.40782e-03,1.22857e+03
6.56295e-03,1.16504e+03
6.72184e-03,1.10475e+03
6.88457e-03,1.04753e+03
7.05124e-03,9.93234e+02
7.22195e-03,9.41707e+02
7.39678e-03,8.92811e+02
7.57585e-03,8.46412e+02
7.75926e-03,8.02383e+02
7.94711e-03,7.60606e+02
8.13950e-03,7.20965e+02
8.33655e-03,6.83352e+02
8.53838e-03,6.47665e+02
8.74508e-03,6.13806e+02
8.95680e-03,5.81683e+02
9.17363e-03,5.51207e+02
9.39572e-03,5.22294e+02
9.62319e-03,4.94866e+02
9.85616e-03,4.68847e+02
1.00948e-02,4.44166e+02
1.03392e-02,4.20754e+02
1.05895e-02,3.98547e+02
1.08458e-02,3.77484e+02
1.11084e-02,3.57507e+02
1.13773e-02,3.38561e+02
1.16528e-02,3.20593e+02
1.19349e-02,3.03553e+02
1.22238e-02,2.87395e+02
1.25197e-02,2.72073e+02
1.28228e-02,2.57544e+02
1.31333e-02,2.43769e+02
1.34512e-02,2.30709e+02
1.37768e-02,2.18328e+02
1.41104e-02,2.06590e+02
1.44520e-02,1.95464e+02
1.48018e-02,1.84917e+02
1.51602e-02,1.74921e+02
1.55272e-02,1.65447e+02
1.59031e-02,1.56468e+02
1.62881e-02,1.47959e+02
1.66824e-02,1.39897e+02
1.70863e-02,1.32257e+02
1.75000e-02,1.25020e+02
1.79236e-02,1.18163e+02
1.83575e-02,1.11668e+02
1.88020e-02,1.05515e+02
1.92571e-02,9.96880e+01
1.97234e-02,9.41694e+01
2.02008e-02,8.89435e+01
2.06899e-02,8.39952e+01
2.11908e-02,7.93102e+01
2.17038e-02,7.48749e+01
2.22292e-02,7.06765e+01
2.27674e-02,6.67028e+01
2.33186e-02,6.29420e+01
2.38831e-02,5.93832e+01
2.44613e-02,5.60160e+01
2.50535e-02,5.28303e+01
2.56600e-02,4.98168e+01
2.62812e-02,4.69666e+01
2.69175e-02,4.42711e+01
2.75691e-02,4.17222e+01
2.82365e-02,3.93123e+01
2.89201e-02,3.70342e+01
2.96203e-02,3.48810e+01
3.03374e-02,3.28461e+01
3.10718e-02,3.09233e+01
3.18240e-02,2.91068e+01
3.25945e-02,2.73909e+01
3.33836e-02,2.57703e+01
3.41918e-02,2.42400e+01
3.50195e-02,2.27953e+01
3.58673e-02,2.14315e+01
3.67356e-02,2.01444e+01
3.76250e-02,1.89300e+01
3.85359e-02,1.77843e+01
3.94688e-02,1.67036e+01
4.04243e-02,1.56846e+01
4.14029e-02,1.47238e+01
4.24053e-02,1.38181e+01
4.34319e-02,1.29646e+01
4.44833e-02,1.21605e+01
4.55603e-02,1.14030e+01
4.66632e-02,1.06897e+01
4.77929e-02,1.00181e+01
4.89500e-02,9.38593e+00
5.01350e-02,8.79104e+00
5.13487e-02,8.23137e+00
5.25919e-02,7.70499e+00
5.38651e-02,7.21004e+00
5.51691e-02,6.74478e+00
5.65047e-02,6.30755e+00
5.78727e-02,5.89679e+00
5.92737e-02,5.51099e+00
6.07087e-02,5.14877e+00
6.21784e-02,4.80877e+00
6.36837e-02,4.48973e+00
6.52254e-02,4.19046e+00
6.68045e-02,3.90982e+00
6.84218e-02,3.64674e+00
7.00782e-02,3.40020e+00
7.17748e-02,3.16923e+00
7.35124e-02,2.95293e+00
7.52921e-02,2.75044e+00
7.71149e-02,2.56093e+00
7.89818e-02,2.38365e+00
8.08939e-02,2.21786e+00
8.28523e-02,2.06286e+00
8.48580e-02,1.91802e+00
8.69124e-02,1.78271e+00
8.90165e-02,1.65636e+00
9.11715e-02,1.53841e+00
9.33787e-02,1.42835e+00
9.56394e-02,1.32569e+00
9.79547e-02,1.22997e+00
1.00326e-01,1.14075e+00
1.02755e-01,1.05762e+00
1.05243e-01,9.80196e-01
1.07790e-01,9.08116e-01
1.10400e-01,8.41035e-01
1.13073e-01,7.78631e-01
1.15810e-01,7.20600e-01
1.18614e-01,6.66656e-01
1.21485e-01,6.16531e-01
1.24426e-01,5.69971e-01
1.27439e-01,5.26741e-01
1.30524e-01,4.86616e-01
1.33684e-01,4.49389e-01
1.36920e-01,4.14862e-01
1.40235e-01,3.82852e-01
1.43630e-01,3.53186e-01
1.47107e-01,3.25703e-01
1.50669e-01,3.00251e-01
1.54316e-01,2.76689e-01
1.58052e-01,2.54885e-01
1.61878e-01,2.34714e-01
1.65797e-01,2.16060e-01
1.69811e-01,1.98816e-01
1.73922e-01,1.82880e-01
1.78133e-01,1.68157e-01
1.82445e-01,1.54561e-01
1.86862e-01,1.42009e-01
1.91386e-01,1.30425e-01
1.96019e-01,1.19736e-01
2.00765e-01,1.09878e-01
2.05625e-01,1.00789e-01
2.10603e-01,9.24100e-02
2.15702e-01,8.46889e-02
2.20924e-01,7.75760e-02
2.26272e-01,7.10251e-02
2.31750e-01,6.49936e-02
2.37360e-01,5.94417e-02
2.43107e-01,5.43328e-02
2.48992e-01,4.96326e-02
2.55020e-01,4.53095e-02
2.61194e-01,4.13344e-02
2.67517e-01,3.76800e-02
2.73994e-01,3.43213e-02
2.80627e-01,3.12351e-02
2.87421e-01,2.83999e-02
2.94379e-01,2.57958e-02
3.01506e-01,2.34046e-02
3.08805e-01,2.12093e-02
3.16281e-01,1.91942e-02
3.23938e-01,1.73450e-02
3.31780e-01,1.56482e-02
3.39812e-01,1.40917e-02
3.48039e-01,1.26640e-02
3.56465e-01,1.13548e-02
3.65095e-01,1.01544e-02
3.73933e-01,9.05397e-03
3.82986e-01,8.04532e-03
3.92258e-01,7.12095e-03
4.01754e-01,6.27395e-03
4.11480e-01,5.49796e-03
4.21442e-01,4.78713e-03
4.31645e-01,4.13606e-03
4.42095e-01,3.53982e-03
4.52797e-01,2.99387e-03
4.63759e-01,2.49401e-03
4.74987e-01,2.03642e-03
4.86486e-01,1.61757e-03
4.98263e-01,1.23423e-03
5.10326e-01,8.83412e-04
5.22680e-01,5.62403e-04
5.35334e-01,2.68698e-04
5.48294e-01,0.00000e+00
