m1=1277.545, m2=51.773, gsp=2.019, rhosp=11.939
fGW[Hz],dPh[rad]
4.87063e-03,1.12460e+00
5.03438e-03,1.04151e+00
5.20364e-03,9.64558e-01
5.37858e-03,8.93289e-01
5.55941e-03,8.27286e-01
5.74632e-03,7.66159e-01
5.93951e-03,7.09548e-01
6.13920e-03,6.57120e-01
6.34560e-03,6.08565e-01
6.55894e-03,5.63597e-01
6.77945e-03,5.21951e-01
7.00738e-03,4.83382e-01
7.24296e-03,4.47663e-01
7.48647e-03,4.14582e-01
7.73817e-03,3.83946e-01
7.99833e-03,3.55573e-01
8.26723e-03,3.29297e-01
8.54518e-03,3.04961e-01
8.83247e-03,2.82424e-01
9.12941e-03,2.61552e-01
9.43635e-03,2.42222e-01
9.75360e-03,2.24320e-01
1.00815e-02,2.07741e-01
1.04205e-02,1.92387e-01
1.07708e-02,1.78167e-01
1.11329e-02,1.64998e-01
1.15072e-02,1.52802e-01
1.18941e-02,1.41508e-01
1.22939e-02,1.31047e-01
1.27073e-02,1.21360e-01
1.31345e-02,1.12389e-01
1.35761e-02,1.04080e-01
1.40325e-02,9.63854e-02
1.45043e-02,8.92594e-02
1.49919e-02,8.26600e-02
1.54959e-02,7.65482e-02
1.60169e-02,7.08881e-02
1.65554e-02,6.56463e-02
1.71120e-02,6.07918e-02
1.76873e-02,5.62961e-02
1.82819e-02,5.21327e-02
1.88966e-02,4.82769e-02
1.95319e-02,4.47061e-02
2.01886e-02,4.13993e-02
2.08673e-02,3.83368e-02
2.15689e-02,3.55007e-02
2.22940e-02,3.28742e-02
2.30435e-02,3.04419e-02
2.38183e-02,2.81894e-02
2.46190e-02,2.61033e-02
2.54467e-02,2.41715e-02
2.63022e-02,2.23825e-02
2.71865e-02,2.07258e-02
2.81005e-02,1.91915e-02
2.90453e-02,1.77707e-02
3.00218e-02,1.64549e-02
3.10311e-02,1.52364e-02
3.20744e-02,1.41080e-02
3.31527e-02,1.30631e-02
3.42673e-02,1.20954e-02
3.54194e-02,1.11993e-02
3.66102e-02,1.03694e-02
3.78410e-02,9.60099e-03
3.91132e-02,8.88938e-03
4.04282e-02,8.23040e-03
4.17874e-02,7.62018e-03
4.31923e-02,7.05510e-03
4.46445e-02,6.53183e-03
4.61454e-02,6.04728e-03
4.76968e-02,5.59859e-03
4.93004e-02,5.18311e-03
5.09579e-02,4.79837e-03
5.26711e-02,4.44211e-03
5.44419e-02,4.11223e-03
5.62722e-02,3.80677e-03
5.81641e-02,3.52393e-03
6.01196e-02,3.26203e-03
6.21408e-02,3.01953e-03
6.42300e-02,2.79499e-03
6.63894e-02,2.58708e-03
6.86214e-02,2.39458e-03
7.09285e-02,2.21634e-03
7.33131e-02,2.05131e-03
7.57779e-02,1.89852e-03
7.83256e-02,1.75705e-03
8.09589e-02,1.62607e-03
8.36807e-02,1.50481e-03
8.64941e-02,1.39254e-03
8.94020e-02,1.28860e-03
9.24077e-02,1.19237e-03
9.55144e-02,1.10328e-03
9.87256e-02,1.02081e-03
1.02045e-01,9.44465e-04
1.05476e-01,8.73789e-04
1.09022e-01,8.08364e-04
1.12687e-01,7.47801e-04
1.16476e-01,6.91740e-04
1.20391e-01,6.39848e-04
1.24439e-01,5.91816e-04
1.28623e-01,5.47358e-04
1.32947e-01,5.06210e-04
1.37417e-01,4.68125e-04
1.42037e-01,4.32878e-04
1.46812e-01,4.00257e-04
1.51748e-01,3.70068e-04
1.56849e-01,3.42131e-04
1.62123e-01,3.16279e-04
1.67573e-01,2.92357e-04
1.73207e-01,2.70221e-04
1.79030e-01,2.49740e-04
1.85049e-01,2.30790e-04
1.91271e-01,2.13258e-04
1.97701e-01,1.97039e-04
2.04348e-01,1.82034e-04
2.11218e-01,1.68154e-04
2.18319e-01,1.55316e-04
2.25659e-01,1.43441e-04
2.33246e-01,1.32458e-04
2.41088e-01,1.22301e-04
2.49193e-01,1.12908e-04
2.57571e-01,1.04223e-04
2.66231e-01,9.61920e-05
2.75181e-01,8.87671e-05
2.84433e-01,8.19030e-05
2.93996e-01,7.55577e-05
3.03880e-01,6.96927e-05
3.14096e-01,6.42720e-05
3.24656e-01,5.92626e-05
3.35571e-01,5.46335e-05
3.46853e-01,5.03565e-05
3.58514e-01,4.64051e-05
3.70567e-01,4.27550e-05
3.83026e-01,3.93836e-05
3.95903e-01,3.62701e-05
4.09214e-01,3.33950e-05
4.22971e-01,3.07405e-05
4.37192e-01,2.82900e-05
4.51890e-01,2.60282e-05
4.67083e-01,2.39408e-05
4.82786e-01,2.20148e-05
4.99017e-01,2.02378e-05
5.15794e-01,1.85988e-05
5.33135e-01,1.70872e-05
5.51059e-01,1.56934e-05
5.69586e-01,1.44085e-05
5.88736e-01,1.32243e-05
6.08529e-01,1.21330e-05
6.28988e-01,1.11276e-05
6.50134e-01,1.02016e-05
6.71992e-01,9.34894e-06
6.94584e-01,8.56393e-06
7.17936e-01,7.84145e-06
7.42073e-01,7.17669e-06
7.67022e-01,6.56521e-06
7.92809e-01,6.00291e-06
8.19464e-01,5.48600e-06
8.47014e-01,5.01096e-06
8.75491e-01,4.57454e-06
9.04925e-01,4.17375e-06
9.35348e-01,3.80580e-06
9.66795e-01,3.46814e-06
9.99298e-01,3.15838e-06
1.03289e+00,2.87433e-06
1.06762e+00,2.61397e-06
1.10351e+00,2.37543e-06
1.14061e+00,2.15696e-06
1.17896e+00,1.95697e-06
1.21860e+00,1.77399e-06
1.25957e+00,1.60664e-06
1.30192e+00,1.45367e-06
1.34569e+00,1.31392e-06
1.39093e+00,1.18630e-06
1.43769e+00,1.06983e-06
1.48603e+00,9.63595e-07
1.53599e+00,8.66746e-07
1.58763e+00,7.78507e-07
1.64100e+00,6.98160e-07
1.69617e+00,6.25043e-07
1.75320e+00,5.58549e-07
1.81214e+00,4.98114e-07
1.87307e+00,4.43222e-07
1.93604e+00,3.93397e-07
2.00113e+00,3.48202e-07
2.06841e+00,3.07234e-07
2.13795e+00,2.70123e-07
2.20982e+00,2.36530e-07
2.28412e+00,2.06142e-07
2.36091e+00,1.78673e-07
2.44028e+00,1.53861e-07
2.52233e+00,1.31463e-07
2.60713e+00,1.11261e-07
2.69478e+00,9.30520e-08
2.78538e+00,7.66512e-08
2.87902e+00,6.18900e-08
2.97582e+00,4.86141e-08
3.07586e+00,3.66828e-08
3.17927e+00,2.59676e-08
3.28616e+00,1.63515e-08
3.39664e+00,7.72792e-09
3.51084e+00,0.00000e+00
