m1=32772.809, m2=22.701, gsp=2.399, rhosp=1702.968
fGW[Hz],dPh[rad]
2.93394e-03,1.18590e+05
2.99085e-03,1.13473e+05
3.04887e-03,1.08567e+05
3.10800e-03,1.03862e+05
3.16829e-03,9.93515e+04
3.22975e-03,9.50272e+04
3.29240e-03,9.08816e+04
3.35626e-03,8.69077e+04
3.42136e-03,8.30986e+04
3.48773e-03,7.94477e+04
3.55538e-03,7.59488e+04
3.62434e-03,7.25957e+04
3.69464e-03,6.93826e+04
3.76631e-03,6.63040e+04
3.83937e-03,6.33543e+04
3.91384e-03,6.05286e+04
3.98976e-03,5.78217e+04
4.06715e-03,5.52289e+04
4.14604e-03,5.27456e+04
4.22646e-03,5.03674e+04
4.30844e-03,4.80901e+04
4.39201e-03,4.59096e+04
4.47721e-03,4.38220e+04
4.56405e-03,4.18235e+04
4.65258e-03,3.99105e+04
4.74283e-03,3.80796e+04
4.83483e-03,3.63274e+04
4.92861e-03,3.46507e+04
5.02421e-03,3.30465e+04
5.12167e-03,3.15117e+04
5.22101e-03,3.00436e+04
5.32229e-03,2.86395e+04
5.42552e-03,2.72966e+04
5.53076e-03,2.60125e+04
5.63804e-03,2.47848e+04
5.74741e-03,2.36111e+04
5.85889e-03,2.24892e+04
5.97254e-03,2.14170e+04
6.08839e-03,2.03925e+04
6.20649e-03,1.94135e+04
6.32687e-03,1.84783e+04
6.44960e-03,1.75851e+04
6.57470e-03,1.67320e+04
6.70223e-03,1.59174e+04
6.83224e-03,1.51396e+04
6.96476e-03,1.43972e+04
7.09986e-03,1.36886e+04
7.23758e-03,1.30124e+04
7.37797e-03,1.23672e+04
7.52108e-03,1.17517e+04
7.66697e-03,1.11647e+04
7.81569e-03,1.06049e+04
7.96729e-03,1.00711e+04
8.12183e-03,9.56229e+03
8.27937e-03,9.07733e+03
8.43997e-03,8.61520e+03
8.60368e-03,8.17491e+03
8.77057e-03,7.75551e+03
8.94069e-03,7.35608e+03
9.11412e-03,6.97575e+03
9.29091e-03,6.61367e+03
9.47113e-03,6.26905e+03
9.65484e-03,5.94111e+03
9.84212e-03,5.62911e+03
1.00330e-02,5.33233e+03
1.02276e-02,5.05009e+03
1.04260e-02,4.78174e+03
1.06283e-02,4.52666e+03
1.08344e-02,4.28423e+03
1.10446e-02,4.05389e+03
1.12588e-02,3.83507e+03
1.14772e-02,3.62726e+03
1.16998e-02,3.42994e+03
1.19268e-02,3.24263e+03
1.21581e-02,3.06486e+03
1.23940e-02,2.89618e+03
1.26344e-02,2.73617e+03
1.28794e-02,2.58441e+03
1.31293e-02,2.44053e+03
1.33839e-02,2.30413e+03
1.36435e-02,2.17487e+03
1.39082e-02,2.05240e+03
1.41780e-02,1.93639e+03
1.44530e-02,1.82653e+03
1.47333e-02,1.72252e+03
1.50191e-02,1.62407e+03
1.53104e-02,1.53090e+03
1.56074e-02,1.44276e+03
1.59102e-02,1.35940e+03
1.62188e-02,1.28057e+03
1.65334e-02,1.20604e+03
1.68541e-02,1.13561e+03
1.71810e-02,1.06906e+03
1.75143e-02,1.00619e+03
1.78540e-02,9.46814e+02
1.82003e-02,8.90754e+02
1.85533e-02,8.37837e+02
1.89132e-02,7.87897e+02
1.92801e-02,7.40779e+02
1.96541e-02,6.96335e+02
2.00353e-02,6.54424e+02
2.04239e-02,6.14909e+02
2.08201e-02,5.77664e+02
2.12240e-02,5.42566e+02
2.16356e-02,5.09499e+02
2.20553e-02,4.78354e+02
2.24831e-02,4.49025e+02
2.29192e-02,4.21412e+02
2.33638e-02,3.95422e+02
2.38170e-02,3.70965e+02
2.42790e-02,3.47955e+02
2.47499e-02,3.26312e+02
2.52300e-02,3.05958e+02
2.57194e-02,2.86822e+02
2.62183e-02,2.68834e+02
2.67268e-02,2.51929e+02
2.72453e-02,2.36046e+02
2.77738e-02,2.21125e+02
2.83125e-02,2.07111e+02
2.88617e-02,1.93952e+02
2.94215e-02,1.81598e+02
2.99922e-02,1.70002e+02
3.05740e-02,1.59119e+02
3.11670e-02,1.48909e+02
3.17716e-02,1.39330e+02
3.23879e-02,1.30346e+02
3.30161e-02,1.21922e+02
3.36565e-02,1.14023e+02
3.43094e-02,1.06618e+02
3.49749e-02,9.96784e+01
3.56533e-02,9.31750e+01
3.63449e-02,8.70818e+01
3.70498e-02,8.13738e+01
3.77685e-02,7.60275e+01
3.85011e-02,7.10208e+01
3.92479e-02,6.63329e+01
4.00092e-02,6.19440e+01
