m1=1971.182, m2=5.574, gsp=2.047, rhosp=59.916
fGW[Hz],dPh[rad]
1.00338e-02,5.47124e+01
1.03101e-02,5.13791e+01
1.05940e-02,4.82482e+01
1.08857e-02,4.53076e+01
1.11854e-02,4.25455e+01
1.14934e-02,3.99513e+01
1.18099e-02,3.75147e+01
1.21351e-02,3.52262e+01
1.24692e-02,3.30767e+01
1.28126e-02,3.10579e+01
1.31654e-02,2.91618e+01
1.35279e-02,2.73810e+01
1.39004e-02,2.57085e+01
1.42832e-02,2.41376e+01
1.46765e-02,2.26623e+01
1.50806e-02,2.12768e+01
1.54958e-02,1.99755e+01
1.59225e-02,1.87534e+01
1.63610e-02,1.76057e+01
1.68115e-02,1.65278e+01
1.72744e-02,1.55156e+01
1.77501e-02,1.45649e+01
1.82388e-02,1.36722e+01
1.87410e-02,1.28338e+01
1.92571e-02,1.20465e+01
1.97873e-02,1.13072e+01
2.03322e-02,1.06129e+01
2.08921e-02,9.96098e+00
2.14673e-02,9.34878e+00
2.20584e-02,8.77392e+00
2.26658e-02,8.23412e+00
2.32900e-02,7.72725e+00
2.39313e-02,7.25132e+00
2.45902e-02,6.80445e+00
2.52673e-02,6.38486e+00
2.59631e-02,5.99091e+00
2.66780e-02,5.62102e+00
2.74126e-02,5.27374e+00
2.81674e-02,4.94770e+00
2.89430e-02,4.64160e+00
2.97400e-02,4.35422e+00
3.05589e-02,4.08444e+00
3.14004e-02,3.83117e+00
3.22650e-02,3.59342e+00
3.31534e-02,3.37023e+00
3.40663e-02,3.16073e+00
3.50044e-02,2.96408e+00
3.59682e-02,2.77950e+00
3.69586e-02,2.60625e+00
3.79763e-02,2.44364e+00
3.90220e-02,2.29102e+00
4.00965e-02,2.14779e+00
4.12006e-02,2.01336e+00
4.23351e-02,1.88722e+00
4.35008e-02,1.76884e+00
4.46986e-02,1.65776e+00
4.59294e-02,1.55353e+00
4.71941e-02,1.45573e+00
4.84937e-02,1.36397e+00
4.98290e-02,1.27788e+00
5.12010e-02,1.19712e+00
