m1=2768.947, m2=7.340, gsp=2.353, rhosp=196.658
fGW[Hz],dPh[rad]
8.31262e-03,2.25861e+04
8.53500e-03,2.13589e+04
8.76333e-03,2.01981e+04
8.99777e-03,1.91000e+04
9.23849e-03,1.80613e+04
9.48564e-03,1.70788e+04
9.73940e-03,1.61494e+04
9.99995e-03,1.52702e+04
1.02675e-02,1.44386e+04
1.05422e-02,1.36520e+04
1.08242e-02,1.29080e+04
1.11138e-02,1.22042e+04
1.14111e-02,1.15385e+04
1.17164e-02,1.09089e+04
1.20298e-02,1.03133e+04
1.23516e-02,9.75003e+03
1.26821e-02,9.21725e+03
1.30213e-02,8.71333e+03
1.33697e-02,8.23671e+03
1.37274e-02,7.78593e+03
1.40946e-02,7.35958e+03
1.44717e-02,6.95636e+03
1.48588e-02,6.57500e+03
1.52563e-02,6.21434e+03
1.56645e-02,5.87325e+03
1.60835e-02,5.55067e+03
1.65138e-02,5.24561e+03
1.69556e-02,4.95711e+03
1.74092e-02,4.68429e+03
1.78749e-02,4.42630e+03
1.83531e-02,4.18233e+03
1.88441e-02,3.95164e+03
1.93482e-02,3.73349e+03
1.98659e-02,3.52721e+03
2.03973e-02,3.33217e+03
2.09430e-02,3.14775e+03
2.15033e-02,2.97337e+03
2.20785e-02,2.80851e+03
2.26692e-02,2.65263e+03
2.32756e-02,2.50526e+03
2.38983e-02,2.36594e+03
2.45377e-02,2.23422e+03
2.51941e-02,2.10970e+03
2.58681e-02,1.99199e+03
2.65601e-02,1.88072e+03
2.72707e-02,1.77554e+03
2.80003e-02,1.67612e+03
2.87493e-02,1.58214e+03
2.95184e-02,1.49333e+03
3.03081e-02,1.40938e+03
3.11190e-02,1.33005e+03
3.19515e-02,1.25507e+03
3.28062e-02,1.18422e+03
3.36839e-02,1.11727e+03
3.45850e-02,1.05400e+03
3.55102e-02,9.94225e+02
3.64602e-02,9.37747e+02
3.74356e-02,8.84387e+02
3.84371e-02,8.33976e+02
3.94654e-02,7.86355e+02
4.05212e-02,7.41372e+02
4.16053e-02,6.98882e+02
4.27183e-02,6.58751e+02
4.38611e-02,6.20849e+02
4.50345e-02,5.85056e+02
4.62393e-02,5.51256e+02
4.74763e-02,5.19341e+02
4.87464e-02,4.89208e+02
5.00505e-02,4.60759e+02
5.13895e-02,4.33904e+02
5.27643e-02,4.08554e+02
5.41758e-02,3.84627e+02
5.56252e-02,3.62045e+02
5.71133e-02,3.40736e+02
5.86412e-02,3.20628e+02
6.02100e-02,3.01657e+02
6.18208e-02,2.83759e+02
6.34746e-02,2.66877e+02
6.51727e-02,2.50953e+02
6.69162e-02,2.35936e+02
6.87064e-02,2.21775e+02
7.05445e-02,2.08424e+02
7.24317e-02,1.95837e+02
7.43694e-02,1.83973e+02
7.63590e-02,1.72791e+02
7.84018e-02,1.62253e+02
8.04992e-02,1.52325e+02
8.26528e-02,1.42972e+02
8.48639e-02,1.34163e+02
8.71343e-02,1.25866e+02
8.94653e-02,1.18054e+02
9.18587e-02,1.10699e+02
9.43162e-02,1.03777e+02
9.68394e-02,9.72618e+01
9.94301e-02,9.11318e+01
1.02090e-01,8.53650e+01
1.04821e-01,7.99411e+01
1.07625e-01,7.48408e+01
1.10505e-01,7.00457e+01
1.13461e-01,6.55387e+01
1.16496e-01,6.13033e+01
1.19613e-01,5.73241e+01
1.22813e-01,5.35866e+01
1.26098e-01,5.00769e+01
1.29472e-01,4.67821e+01
1.32935e-01,4.36896e+01
1.36492e-01,4.07880e+01
